iteration:9, computational time when k=1,weight=0.000000, tolerance=0.100000, penalty=1 : 0.819808
iteration:9, computational time when k=1,weight=0.000000, tolerance=0.100000, penalty=10 : 1.109034
iteration:9, computational time when k=1,weight=0.000000, tolerance=0.100000, penalty=20 : 0.999328
iteration:9, computational time when k=1,weight=0.000000, tolerance=0.100000, penalty=30 : 1.057173
iteration:9, computational time when k=1,weight=0.000000, tolerance=0.100000, penalty=40 : 1.029249
iteration:9, computational time when k=1,weight=0.000000, tolerance=0.001000, penalty=1 : 0.924527
iteration:9, computational time when k=1,weight=0.000000, tolerance=0.001000, penalty=10 : 0.981376
iteration:9, computational time when k=1,weight=0.000000, tolerance=0.001000, penalty=20 : 1.010299
iteration:9, computational time when k=1,weight=0.000000, tolerance=0.001000, penalty=30 : 1.057173
iteration:9, computational time when k=1,weight=0.000000, tolerance=0.001000, penalty=40 : 1.649590
iteration:9, computational time when k=1,weight=0.000000, tolerance=0.000010, penalty=1 : 1.005312
iteration:9, computational time when k=1,weight=0.000000, tolerance=0.000010, penalty=10 : 1.069141
iteration:9, computational time when k=1,weight=0.000000, tolerance=0.000010, penalty=20 : 1.025258
iteration:9, computational time when k=1,weight=0.000000, tolerance=0.000010, penalty=30 : 1.664549
iteration:9, computational time when k=1,weight=0.000000, tolerance=0.000010, penalty=40 : 1.012224
iteration:9, computational time when k=1,weight=2.000000, tolerance=0.100000, penalty=1 : 0.768943
iteration:9, computational time when k=1,weight=2.000000, tolerance=0.100000, penalty=10 : 1.040219
iteration:9, computational time when k=1,weight=2.000000, tolerance=0.100000, penalty=20 : 1.043211
iteration:9, computational time when k=1,weight=2.000000, tolerance=0.100000, penalty=30 : 1.086096
iteration:9, computational time when k=1,weight=2.000000, tolerance=0.100000, penalty=40 : 1.038224
iteration:9, computational time when k=1,weight=2.000000, tolerance=0.001000, penalty=1 : 0.883638
iteration:9, computational time when k=1,weight=2.000000, tolerance=0.001000, penalty=10 : 1.012224
iteration:9, computational time when k=1,weight=2.000000, tolerance=0.001000, penalty=20 : 1.071137
iteration:9, computational time when k=1,weight=2.000000, tolerance=0.001000, penalty=30 : 1.026256
iteration:9, computational time when k=1,weight=2.000000, tolerance=0.001000, penalty=40 : 1.025259
