iteration:5, computational time when k=1,weight=0.000000, tolerance=0.100000, penalty=1 : 0.830778
iteration:5, computational time when k=1,weight=0.000000, tolerance=0.100000, penalty=10 : 1.103050
iteration:5, computational time when k=1,weight=0.000000, tolerance=0.100000, penalty=20 : 1.673525
iteration:5, computational time when k=1,weight=0.000000, tolerance=0.100000, penalty=30 : 1.030246
iteration:5, computational time when k=1,weight=0.000000, tolerance=0.100000, penalty=40 : 1.055179
iteration:5, computational time when k=1,weight=0.000000, tolerance=0.001000, penalty=1 : 0.987360
iteration:5, computational time when k=1,weight=0.000000, tolerance=0.001000, penalty=10 : 0.980379
iteration:5, computational time when k=1,weight=0.000000, tolerance=0.001000, penalty=20 : 1.011296
iteration:5, computational time when k=1,weight=0.000000, tolerance=0.001000, penalty=30 : 1.019275
iteration:5, computational time when k=1,weight=0.000000, tolerance=0.001000, penalty=40 : 1.058171
iteration:5, computational time when k=1,weight=0.000000, tolerance=0.000010, penalty=1 : 0.971403
iteration:5, computational time when k=1,weight=0.000000, tolerance=0.000010, penalty=10 : 1.014288
iteration:5, computational time when k=1,weight=0.000000, tolerance=0.000010, penalty=20 : 1.109035
iteration:5, computational time when k=1,weight=0.000000, tolerance=0.000010, penalty=30 : 1.042148
iteration:5, computational time when k=1,weight=0.000000, tolerance=0.000010, penalty=40 : 1.047200
iteration:5, computational time when k=1,weight=2.000000, tolerance=0.100000, penalty=1 : 0.755978
iteration:5, computational time when k=1,weight=2.000000, tolerance=0.100000, penalty=10 : 1.023265
iteration:5, computational time when k=1,weight=2.000000, tolerance=0.100000, penalty=20 : 1.071136
iteration:5, computational time when k=1,weight=2.000000, tolerance=0.100000, penalty=30 : 1.023264
iteration:5, computational time when k=1,weight=2.000000, tolerance=0.100000, penalty=40 : 1.048198
iteration:5, computational time when k=1,weight=2.000000, tolerance=0.001000, penalty=1 : 0.922533
iteration:5, computational time when k=1,weight=2.000000, tolerance=0.001000, penalty=10 : 1.021270
iteration:5, computational time when k=1,weight=2.000000, tolerance=0.001000, penalty=20 : 1.053184
iteration:5, computational time when k=1,weight=2.000000, tolerance=0.001000, penalty=30 : 1.036229
iteration:5, computational time when k=1,weight=2.000000, tolerance=0.001000, penalty=40 : 1.027253
iteration:5, computational time when k=1,weight=2.000000, tolerance=0.000010, penalty=1 : 1.013290
iteration:5, computational time when k=1,weight=2.000000, tolerance=0.000010, penalty=10 : 1.050192
iteration:5, computational time when k=1,weight=2.000000, tolerance=0.000010, penalty=20 : 0.973397
iteration:5, computational time when k=1,weight=2.000000, tolerance=0.000010, penalty=30 : 1.063157
iteration:5, computational time when k=1,weight=2.000000, tolerance=0.000010, penalty=40 : 1.011296
iteration:5, computational time when k=1,weight=4.000000, tolerance=0.100000, penalty=1 : 0.800858
iteration:5, computational time when k=1,weight=4.000000, tolerance=0.100000, penalty=10 : 1.023264
iteration:5, computational time when k=1,weight=4.000000, tolerance=0.100000, penalty=20 : 1.017280
iteration:5, computational time when k=1,weight=4.000000, tolerance=0.100000, penalty=30 : 1.017280
iteration:5, computational time when k=1,weight=4.000000, tolerance=0.100000, penalty=40 : 0.996336
iteration:5, computational time when k=1,weight=4.000000, tolerance=0.001000, penalty=1 : 0.939489
iteration:5, computational time when k=1,weight=4.000000, tolerance=0.001000, penalty=10 : 1.004314
iteration:5, computational time when k=1,weight=4.000000, tolerance=0.001000, penalty=20 : 1.033237
iteration:5, computational time when k=1,weight=4.000000, tolerance=0.001000, penalty=30 : 0.993344
iteration:5, computational time when k=1,weight=4.000000, tolerance=0.001000, penalty=40 : 1.097066
iteration:5, computational time when k=1,weight=4.000000, tolerance=0.000010, penalty=1 : 0.953451
iteration:5, computational time when k=1,weight=4.000000, tolerance=0.000010, penalty=10 : 1.088092
iteration:5, computational time when k=1,weight=4.000000, tolerance=0.000010, penalty=20 : 1.017279
iteration:5, computational time when k=1,weight=4.000000, tolerance=0.000010, penalty=30 : 1.028251
iteration:5, computational time when k=1,weight=4.000000, tolerance=0.000010, penalty=40 : 1.017281
iteration:5, computational time when k=1,weight=6.000000, tolerance=0.100000, penalty=1 : 0.787893
iteration:5, computational time when k=1,weight=6.000000, tolerance=0.100000, penalty=10 : 1.016283
iteration:5, computational time when k=1,weight=6.000000, tolerance=0.100000, penalty=20 : 1.091082
iteration:5, computational time when k=1,weight=6.000000, tolerance=0.100000, penalty=30 : 1.042213
iteration:5, computational time when k=1,weight=6.000000, tolerance=0.100000, penalty=40 : 1.061163
iteration:5, computational time when k=1,weight=6.000000, tolerance=0.001000, penalty=1 : 0.879648
iteration:5, computational time when k=1,weight=6.000000, tolerance=0.001000, penalty=10 : 0.983370
iteration:5, computational time when k=1,weight=6.000000, tolerance=0.001000, penalty=20 : 0.989375
iteration:5, computational time when k=1,weight=6.000000, tolerance=0.001000, penalty=30 : 1.088091
