k = 2, rho = 0.100000, avg_testing_time : 4.163029 
k = 2, rho = 0.300000, avg_testing_time : 4.163029 
k = 2, rho = 0.500000, avg_testing_time : 4.163029 
k = 2, rho = 0.700000, avg_testing_time : 4.163029 
k = 2, rho = 0.900000, avg_testing_time : 4.163029 
k = 3, rho = 0.100000, avg_testing_time : 10.058498 
k = 3, rho = 0.300000, avg_testing_time : 10.058498 
k = 3, rho = 0.500000, avg_testing_time : 10.058498 
k = 3, rho = 0.700000, avg_testing_time : 10.058498 
k = 3, rho = 0.900000, avg_testing_time : 10.058498 
k = 4, rho = 0.100000, avg_testing_time : 21.909603 
k = 4, rho = 0.300000, avg_testing_time : 21.909603 
k = 4, rho = 0.500000, avg_testing_time : 21.909603 
k = 4, rho = 0.700000, avg_testing_time : 21.909603 
k = 4, rho = 0.900000, avg_testing_time : 21.909603 
k = 2, rho = 0.100000, testing_time(maxacc): 4.163029 
k = 2, rho = 0.300000, testing_time(maxacc): 4.163029 
k = 2, rho = 0.500000, testing_time(maxacc): 4.163029 
k = 2, rho = 0.700000, testing_time(maxacc): 4.163029 
k = 2, rho = 0.900000, testing_time(maxacc): 4.163029 
k = 3, rho = 0.100000, testing_time(maxacc): 10.058498 
k = 3, rho = 0.300000, testing_time(maxacc): 10.058498 
k = 3, rho = 0.500000, testing_time(maxacc): 10.058498 
k = 3, rho = 0.700000, testing_time(maxacc): 10.058498 
k = 3, rho = 0.900000, testing_time(maxacc): 10.058498 
k = 4, rho = 0.100000, testing_time(maxacc): 21.909603 
k = 4, rho = 0.300000, testing_time(maxacc): 21.909603 
k = 4, rho = 0.500000, testing_time(maxacc): 21.909603 
k = 4, rho = 0.700000, testing_time(maxacc): 21.909603 
k = 4, rho = 0.900000, testing_time(maxacc): 21.909603 
iteration = 1, testing time when k = 2, rho = 0.100000: 3.192507
iteration = 1, testing time when k = 2, rho = 0.300000: 3.497412
iteration = 1, testing time when k = 2, rho = 0.500000: 3.609802
iteration = 1, testing time when k = 2, rho = 0.700000: 4.093729
iteration = 1, testing time when k = 2, rho = 0.900000: 4.173554
iteration = 1, testing time when k = 3, rho = 0.100000: 6.859294
iteration = 1, testing time when k = 3, rho = 0.300000: 7.670606
iteration = 1, testing time when k = 3, rho = 0.500000: 8.408164
iteration = 1, testing time when k = 3, rho = 0.700000: 9.227086
iteration = 1, testing time when k = 3, rho = 0.900000: 10.030975
iteration = 1, testing time when k = 4, rho = 0.100000: 14.979569
iteration = 1, testing time when k = 4, rho = 0.300000: 16.515080
iteration = 1, testing time when k = 4, rho = 0.500000: 18.176296
iteration = 1, testing time when k = 4, rho = 0.700000: 20.335796
iteration = 1, testing time when k = 4, rho = 0.900000: 22.044401
k = 2, rho = 0.100000, avg_testing_time : 4.173554 
k = 2, rho = 0.300000, avg_testing_time : 4.173554 
k = 2, rho = 0.500000, avg_testing_time : 4.173554 
k = 2, rho = 0.700000, avg_testing_time : 4.173554 
k = 2, rho = 0.900000, avg_testing_time : 4.173554 
k = 3, rho = 0.100000, avg_testing_time : 10.030975 
k = 3, rho = 0.300000, avg_testing_time : 10.030975 
k = 3, rho = 0.500000, avg_testing_time : 10.030975 
k = 3, rho = 0.700000, avg_testing_time : 10.030975 
k = 3, rho = 0.900000, avg_testing_time : 10.030975 
k = 4, rho = 0.100000, avg_testing_time : 22.044401 
k = 4, rho = 0.300000, avg_testing_time : 22.044401 
k = 4, rho = 0.500000, avg_testing_time : 22.044401 
k = 4, rho = 0.700000, avg_testing_time : 22.044401 
k = 4, rho = 0.900000, avg_testing_time : 22.044401 
k = 2, rho = 0.100000, testing_time(maxacc): 4.173554 
k = 2, rho = 0.300000, testing_time(maxacc): 4.173554 
k = 2, rho = 0.500000, testing_time(maxacc): 4.173554 
k = 2, rho = 0.700000, testing_time(maxacc): 4.173554 
k = 2, rho = 0.900000, testing_time(maxacc): 4.173554 
k = 3, rho = 0.100000, testing_time(maxacc): 10.030975 
k = 3, rho = 0.300000, testing_time(maxacc): 10.030975 
k = 3, rho = 0.500000, testing_time(maxacc): 10.030975 
k = 3, rho = 0.700000, testing_time(maxacc): 10.030975 
k = 3, rho = 0.900000, testing_time(maxacc): 10.030975 
k = 4, rho = 0.100000, testing_time(maxacc): 22.044401 
k = 4, rho = 0.300000, testing_time(maxacc): 22.044401 
