k = 2, rho = 0.700000, avg_training_time : 124.577065 
k = 2, rho = 0.900000, avg_training_time : 124.577065 
k = 3, rho = 0.100000, avg_training_time : 197.587231 
k = 3, rho = 0.300000, avg_training_time : 197.587231 
k = 3, rho = 0.500000, avg_training_time : 197.587231 
k = 3, rho = 0.700000, avg_training_time : 197.587231 
k = 3, rho = 0.900000, avg_training_time : 197.587231 
k = 4, rho = 0.100000, avg_training_time : 341.778584 
k = 4, rho = 0.300000, avg_training_time : 341.778584 
k = 4, rho = 0.500000, avg_training_time : 341.778584 
k = 4, rho = 0.700000, avg_training_time : 341.778584 
k = 4, rho = 0.900000, avg_training_time : 341.778584 
k = 2, rho = 0.100000, training_time(maxacc): 124.577065 
k = 2, rho = 0.300000, training_time(maxacc): 124.577065 
k = 2, rho = 0.500000, training_time(maxacc): 124.577065 
k = 2, rho = 0.700000, training_time(maxacc): 124.577065 
k = 2, rho = 0.900000, training_time(maxacc): 124.577065 
k = 3, rho = 0.100000, training_time(maxacc): 197.587231 
k = 3, rho = 0.300000, training_time(maxacc): 197.587231 
k = 3, rho = 0.500000, training_time(maxacc): 197.587231 
k = 3, rho = 0.700000, training_time(maxacc): 197.587231 
k = 3, rho = 0.900000, training_time(maxacc): 197.587231 
k = 4, rho = 0.100000, training_time(maxacc): 341.778584 
k = 4, rho = 0.300000, training_time(maxacc): 341.778584 
k = 4, rho = 0.500000, training_time(maxacc): 341.778584 
k = 4, rho = 0.700000, training_time(maxacc): 341.778584 
k = 4, rho = 0.900000, training_time(maxacc): 341.778584 
iteration = 1, training time when k = 2, rho = 0.100000: 106.382158
iteration = 1, training time when k = 2, rho = 0.300000: 110.731939
iteration = 1, training time when k = 2, rho = 0.500000: 114.707014
iteration = 1, training time when k = 2, rho = 0.700000: 120.533829
iteration = 1, training time when k = 2, rho = 0.900000: 124.936742
iteration = 1, training time when k = 3, rho = 0.100000: 149.387655
iteration = 1, training time when k = 3, rho = 0.300000: 159.382261
iteration = 1, training time when k = 3, rho = 0.500000: 173.227083
iteration = 1, training time when k = 3, rho = 0.700000: 188.032656
iteration = 1, training time when k = 3, rho = 0.900000: 193.645116
iteration = 1, training time when k = 4, rho = 0.100000: 249.795946
iteration = 1, training time when k = 4, rho = 0.300000: 272.784351
iteration = 1, training time when k = 4, rho = 0.500000: 294.517371
iteration = 1, training time when k = 4, rho = 0.700000: 315.148980
iteration = 1, training time when k = 4, rho = 0.900000: 342.331525
k = 2, rho = 0.100000, avg_training_time : 124.936742 
k = 2, rho = 0.300000, avg_training_time : 124.936742 
k = 2, rho = 0.500000, avg_training_time : 124.936742 
k = 2, rho = 0.700000, avg_training_time : 124.936742 
k = 2, rho = 0.900000, avg_training_time : 124.936742 
k = 3, rho = 0.100000, avg_training_time : 193.645116 
k = 3, rho = 0.300000, avg_training_time : 193.645116 
k = 3, rho = 0.500000, avg_training_time : 193.645116 
k = 3, rho = 0.700000, avg_training_time : 193.645116 
k = 3, rho = 0.900000, avg_training_time : 193.645116 
k = 4, rho = 0.100000, avg_training_time : 342.331525 
k = 4, rho = 0.300000, avg_training_time : 342.331525 
k = 4, rho = 0.500000, avg_training_time : 342.331525 
k = 4, rho = 0.700000, avg_training_time : 342.331525 
k = 4, rho = 0.900000, avg_training_time : 342.331525 
k = 2, rho = 0.100000, training_time(maxacc): 124.936742 
k = 2, rho = 0.300000, training_time(maxacc): 124.936742 
k = 2, rho = 0.500000, training_time(maxacc): 124.936742 
k = 2, rho = 0.700000, training_time(maxacc): 124.936742 
k = 2, rho = 0.900000, training_time(maxacc): 124.936742 
k = 3, rho = 0.100000, training_time(maxacc): 193.645116 
k = 3, rho = 0.300000, training_time(maxacc): 193.645116 
k = 3, rho = 0.500000, training_time(maxacc): 193.645116 
k = 3, rho = 0.700000, training_time(maxacc): 193.645116 
k = 3, rho = 0.900000, training_time(maxacc): 193.645116 
k = 4, rho = 0.100000, training_time(maxacc): 342.331525 
k = 4, rho = 0.300000, training_time(maxacc): 342.331525 
k = 4, rho = 0.500000, training_time(maxacc): 342.331525 
k = 4, rho = 0.700000, training_time(maxacc): 342.331525 
k = 4, rho = 0.900000, training_time(maxacc): 342.331525 
iteration = 1, training time when k = 2, rho = 0.100000: 107.537475
iteration = 1, training time when k = 2, rho = 0.300000: 111.665233
iteration = 1, training time when k = 2, rho = 0.500000: 115.575005
iteration = 1, training time when k = 2, rho = 0.700000: 120.075256
iteration = 1, training time when k = 2, rho = 0.900000: 124.471441
iteration = 1, training time when k = 3, rho = 0.100000: 147.316312
iteration = 1, training time when k = 3, rho = 0.300000: 156.296300
iteration = 1, training time when k = 3, rho = 0.500000: 162.105872
iteration = 1, training time when k = 3, rho = 0.700000: 186.225432
iteration = 1, training time when k = 3, rho = 0.900000: 198.491892
iteration = 1, training time when k = 4, rho = 0.100000: 250.359936
iteration = 1, training time when k = 4, rho = 0.300000: 269.782459
iteration = 1, training time when k = 4, rho = 0.500000: 293.433688
iteration = 1, training time when k = 4, rho = 0.700000: 310.559444
iteration = 1, training time when k = 4, rho = 0.900000: 341.176952
k = 2, rho = 0.100000, avg_training_time : 124.471441 
k = 2, rho = 0.300000, avg_training_time : 124.471441 
k = 2, rho = 0.500000, avg_training_time : 124.471441 
k = 2, rho = 0.700000, avg_training_time : 124.471441 
k = 2, rho = 0.900000, avg_training_time : 124.471441 
k = 3, rho = 0.100000, avg_training_time : 198.491892 
k = 3, rho = 0.300000, avg_training_time : 198.491892 
