k = 2, rho = 0.100000, avg_testing_time : 4.192956 
k = 2, rho = 0.300000, avg_testing_time : 4.192956 
k = 2, rho = 0.500000, avg_testing_time : 4.192956 
k = 2, rho = 0.700000, avg_testing_time : 4.192956 
k = 2, rho = 0.900000, avg_testing_time : 4.192956 
k = 3, rho = 0.100000, avg_testing_time : 10.200251 
k = 3, rho = 0.300000, avg_testing_time : 10.200251 
k = 3, rho = 0.500000, avg_testing_time : 10.200251 
k = 3, rho = 0.700000, avg_testing_time : 10.200251 
k = 3, rho = 0.900000, avg_testing_time : 10.200251 
k = 4, rho = 0.100000, avg_testing_time : 21.891864 
k = 4, rho = 0.300000, avg_testing_time : 21.891864 
k = 4, rho = 0.500000, avg_testing_time : 21.891864 
k = 4, rho = 0.700000, avg_testing_time : 21.891864 
k = 4, rho = 0.900000, avg_testing_time : 21.891864 
k = 2, rho = 0.100000, testing_time(maxacc): 4.192956 
k = 2, rho = 0.300000, testing_time(maxacc): 4.192956 
k = 2, rho = 0.500000, testing_time(maxacc): 4.192956 
k = 2, rho = 0.700000, testing_time(maxacc): 4.192956 
k = 2, rho = 0.900000, testing_time(maxacc): 4.192956 
k = 3, rho = 0.100000, testing_time(maxacc): 10.200251 
k = 3, rho = 0.300000, testing_time(maxacc): 10.200251 
k = 3, rho = 0.500000, testing_time(maxacc): 10.200251 
k = 3, rho = 0.700000, testing_time(maxacc): 10.200251 
k = 3, rho = 0.900000, testing_time(maxacc): 10.200251 
k = 4, rho = 0.100000, testing_time(maxacc): 21.891864 
k = 4, rho = 0.300000, testing_time(maxacc): 21.891864 
k = 4, rho = 0.500000, testing_time(maxacc): 21.891864 
k = 4, rho = 0.700000, testing_time(maxacc): 21.891864 
k = 4, rho = 0.900000, testing_time(maxacc): 21.891864 
iteration = 1, testing time when k = 2, rho = 0.100000: 3.192748
iteration = 1, testing time when k = 2, rho = 0.300000: 3.494774
iteration = 1, testing time when k = 2, rho = 0.500000: 3.607717
iteration = 1, testing time when k = 2, rho = 0.700000: 4.117182
iteration = 1, testing time when k = 2, rho = 0.900000: 4.182517
iteration = 1, testing time when k = 3, rho = 0.100000: 7.271487
iteration = 1, testing time when k = 3, rho = 0.300000: 7.664477
iteration = 1, testing time when k = 3, rho = 0.500000: 8.346452
iteration = 1, testing time when k = 3, rho = 0.700000: 9.236578
iteration = 1, testing time when k = 3, rho = 0.900000: 10.084112
iteration = 1, testing time when k = 4, rho = 0.100000: 14.878596
iteration = 1, testing time when k = 4, rho = 0.300000: 16.572071
iteration = 1, testing time when k = 4, rho = 0.500000: 18.425908
iteration = 1, testing time when k = 4, rho = 0.700000: 20.319090
iteration = 1, testing time when k = 4, rho = 0.900000: 22.098071
k = 2, rho = 0.100000, avg_testing_time : 4.182517 
k = 2, rho = 0.300000, avg_testing_time : 4.182517 
k = 2, rho = 0.500000, avg_testing_time : 4.182517 
k = 2, rho = 0.700000, avg_testing_time : 4.182517 
k = 2, rho = 0.900000, avg_testing_time : 4.182517 
k = 3, rho = 0.100000, avg_testing_time : 10.084112 
k = 3, rho = 0.300000, avg_testing_time : 10.084112 
k = 3, rho = 0.500000, avg_testing_time : 10.084112 
k = 3, rho = 0.700000, avg_testing_time : 10.084112 
k = 3, rho = 0.900000, avg_testing_time : 10.084112 
k = 4, rho = 0.100000, avg_testing_time : 22.098071 
k = 4, rho = 0.300000, avg_testing_time : 22.098071 
k = 4, rho = 0.500000, avg_testing_time : 22.098071 
k = 4, rho = 0.700000, avg_testing_time : 22.098071 
k = 4, rho = 0.900000, avg_testing_time : 22.098071 
k = 2, rho = 0.100000, testing_time(maxacc): 4.182517 
k = 2, rho = 0.300000, testing_time(maxacc): 4.182517 
k = 2, rho = 0.500000, testing_time(maxacc): 4.182517 
k = 2, rho = 0.700000, testing_time(maxacc): 4.182517 
k = 2, rho = 0.900000, testing_time(maxacc): 4.182517 
k = 3, rho = 0.100000, testing_time(maxacc): 10.084112 
k = 3, rho = 0.300000, testing_time(maxacc): 10.084112 
k = 3, rho = 0.500000, testing_time(maxacc): 10.084112 
k = 3, rho = 0.700000, testing_time(maxacc): 10.084112 
k = 3, rho = 0.900000, testing_time(maxacc): 10.084112 
k = 4, rho = 0.100000, testing_time(maxacc): 22.098071 
k = 4, rho = 0.300000, testing_time(maxacc): 22.098071 
k = 4, rho = 0.500000, testing_time(maxacc): 22.098071 
k = 4, rho = 0.700000, testing_time(maxacc): 22.098071 
k = 4, rho = 0.900000, testing_time(maxacc): 22.098071 
iteration = 1, testing time when k = 2, rho = 0.100000: 3.193854
iteration = 1, testing time when k = 2, rho = 0.300000: 3.315876
iteration = 1, testing time when k = 2, rho = 0.500000: 3.594340
iteration = 1, testing time when k = 2, rho = 0.700000: 3.903418
iteration = 1, testing time when k = 2, rho = 0.900000: 4.190286
iteration = 1, testing time when k = 3, rho = 0.100000: 7.262157
iteration = 1, testing time when k = 3, rho = 0.300000: 7.563271
iteration = 1, testing time when k = 3, rho = 0.500000: 8.390923
iteration = 1, testing time when k = 3, rho = 0.700000: 9.227225
iteration = 1, testing time when k = 3, rho = 0.900000: 10.094474
iteration = 1, testing time when k = 4, rho = 0.100000: 15.065213
iteration = 1, testing time when k = 4, rho = 0.300000: 16.601254
iteration = 1, testing time when k = 4, rho = 0.500000: 18.442312
iteration = 1, testing time when k = 4, rho = 0.700000: 20.896854
iteration = 1, testing time when k = 4, rho = 0.900000: 22.116547
k = 2, rho = 0.100000, avg_testing_time : 4.190286 
k = 2, rho = 0.300000, avg_testing_time : 4.190286 
k = 2, rho = 0.500000, avg_testing_time : 4.190286 
k = 2, rho = 0.700000, avg_testing_time : 4.190286 
k = 2, rho = 0.900000, avg_testing_time : 4.190286 
k = 3, rho = 0.100000, avg_testing_time : 10.094474 
k = 3, rho = 0.300000, avg_testing_time : 10.094474 
k = 3, rho = 0.500000, avg_testing_time : 10.094474 
k = 3, rho = 0.700000, avg_testing_time : 10.094474 
k = 3, rho = 0.900000, avg_testing_time : 10.094474 
k = 4, rho = 0.100000, avg_testing_time : 22.116547 
k = 4, rho = 0.300000, avg_testing_time : 22.116547 
k = 4, rho = 0.500000, avg_testing_time : 22.116547 
k = 4, rho = 0.700000, avg_testing_time : 22.116547 
k = 4, rho = 0.900000, avg_testing_time : 22.116547 
k = 2, rho = 0.100000, testing_time(maxacc): 4.190286 
k = 2, rho = 0.300000, testing_time(maxacc): 4.190286 
k = 2, rho = 0.500000, testing_time(maxacc): 4.190286 
k = 2, rho = 0.700000, testing_time(maxacc): 4.190286 
k = 2, rho = 0.900000, testing_time(maxacc): 4.190286 
k = 3, rho = 0.100000, testing_time(maxacc): 10.094474 
k = 3, rho = 0.300000, testing_time(maxacc): 10.094474 
k = 3, rho = 0.500000, testing_time(maxacc): 10.094474 
k = 3, rho = 0.700000, testing_time(maxacc): 10.094474 
k = 3, rho = 0.900000, testing_time(maxacc): 10.094474 
k = 4, rho = 0.100000, testing_time(maxacc): 22.116547 
k = 4, rho = 0.300000, testing_time(maxacc): 22.116547 
k = 4, rho = 0.500000, testing_time(maxacc): 22.116547 
k = 4, rho = 0.700000, testing_time(maxacc): 22.116547 
k = 4, rho = 0.900000, testing_time(maxacc): 22.116547 
