iteration = 1, testing time when k = 2, rho = 0.100000: 5.506037
iteration = 1, testing time when k = 2, rho = 0.300000: 6.276955
iteration = 1, testing time when k = 2, rho = 0.500000: 6.142957
iteration = 1, testing time when k = 2, rho = 0.700000: 6.489978
iteration = 1, testing time when k = 2, rho = 0.900000: 6.839248
iteration = 1, testing time when k = 3, rho = 0.100000: 9.523166
iteration = 1, testing time when k = 3, rho = 0.300000: 10.443512
iteration = 1, testing time when k = 3, rho = 0.500000: 11.477268
iteration = 1, testing time when k = 3, rho = 0.700000: 12.375913
iteration = 1, testing time when k = 3, rho = 0.900000: 13.310640
iteration = 1, testing time when k = 4, rho = 0.100000: 18.259700
iteration = 1, testing time when k = 4, rho = 0.300000: 20.827828
iteration = 1, testing time when k = 4, rho = 0.500000: 21.529224
iteration = 1, testing time when k = 4, rho = 0.700000: 23.487439
iteration = 1, testing time when k = 4, rho = 0.900000: 25.016805
k = 2, rho = 0.100000, avg_testing_time : 6.839248 
k = 2, rho = 0.300000, avg_testing_time : 6.839248 
k = 2, rho = 0.500000, avg_testing_time : 6.839248 
k = 2, rho = 0.700000, avg_testing_time : 6.839248 
k = 2, rho = 0.900000, avg_testing_time : 6.839248 
k = 3, rho = 0.100000, avg_testing_time : 13.310640 
k = 3, rho = 0.300000, avg_testing_time : 13.310640 
k = 3, rho = 0.500000, avg_testing_time : 13.310640 
k = 3, rho = 0.700000, avg_testing_time : 13.310640 
k = 3, rho = 0.900000, avg_testing_time : 13.310640 
k = 4, rho = 0.100000, avg_testing_time : 25.016805 
k = 4, rho = 0.300000, avg_testing_time : 25.016805 
k = 4, rho = 0.500000, avg_testing_time : 25.016805 
k = 4, rho = 0.700000, avg_testing_time : 25.016805 
k = 4, rho = 0.900000, avg_testing_time : 25.016805 
k = 2, rho = 0.100000, testing_time(maxacc): 6.839248 
k = 2, rho = 0.300000, testing_time(maxacc): 6.839248 
k = 2, rho = 0.500000, testing_time(maxacc): 6.839248 
k = 2, rho = 0.700000, testing_time(maxacc): 6.839248 
k = 2, rho = 0.900000, testing_time(maxacc): 6.839248 
k = 3, rho = 0.100000, testing_time(maxacc): 13.310640 
k = 3, rho = 0.300000, testing_time(maxacc): 13.310640 
k = 3, rho = 0.500000, testing_time(maxacc): 13.310640 
k = 3, rho = 0.700000, testing_time(maxacc): 13.310640 
