iteration:6, computational time when k=1,weight=0.000000, tolerance=0.100000, penalty=1 : 1.691477
iteration:6, computational time when k=1,weight=0.000000, tolerance=0.100000, penalty=10 : 2.046528
iteration:6, computational time when k=1,weight=0.000000, tolerance=0.100000, penalty=20 : 2.964074
iteration:6, computational time when k=1,weight=0.000000, tolerance=0.100000, penalty=30 : 3.012944
iteration:6, computational time when k=1,weight=0.000000, tolerance=0.100000, penalty=40 : 4.195781
iteration:6, computational time when k=1,weight=0.000000, tolerance=0.001000, penalty=1 : 2.927173
iteration:6, computational time when k=1,weight=0.000000, tolerance=0.001000, penalty=10 : 1.866011
iteration:6, computational time when k=1,weight=0.000000, tolerance=0.001000, penalty=20 : 1.843072
iteration:6, computational time when k=1,weight=0.000000, tolerance=0.001000, penalty=30 : 1.861024
iteration:6, computational time when k=1,weight=0.000000, tolerance=0.001000, penalty=40 : 3.001974
iteration:6, computational time when k=1,weight=0.000000, tolerance=0.000010, penalty=1 : 1.826117
iteration:6, computational time when k=1,weight=0.000000, tolerance=0.000010, penalty=10 : 4.175834
iteration:6, computational time when k=1,weight=0.000000, tolerance=0.000010, penalty=20 : 4.314464
iteration:6, computational time when k=1,weight=0.000000, tolerance=0.000010, penalty=30 : 4.194784
iteration:6, computational time when k=1,weight=0.000000, tolerance=0.000010, penalty=40 : 1.881968
iteration:6, computational time when k=1,weight=2.000000, tolerance=0.100000, penalty=1 : 1.689483
iteration:6, computational time when k=1,weight=2.000000, tolerance=0.100000, penalty=10 : 1.872992
iteration:6, computational time when k=1,weight=2.000000, tolerance=0.100000, penalty=20 : 1.859029
iteration:6, computational time when k=1,weight=2.000000, tolerance=0.100000, penalty=30 : 1.870998
iteration:6, computational time when k=1,weight=2.000000, tolerance=0.100000, penalty=40 : 1.879973
iteration:6, computational time when k=1,weight=2.000000, tolerance=0.001000, penalty=1 : 1.850053
iteration:6, computational time when k=1,weight=2.000000, tolerance=0.001000, penalty=10 : 1.855040
iteration:6, computational time when k=1,weight=2.000000, tolerance=0.001000, penalty=20 : 1.875984
iteration:6, computational time when k=1,weight=2.000000, tolerance=0.001000, penalty=30 : 1.930837
iteration:6, computational time when k=1,weight=2.000000, tolerance=0.001000, penalty=40 : 1.923856
iteration:6, computational time when k=1,weight=2.000000, tolerance=0.000010, penalty=1 : 2.034560
iteration:6, computational time when k=1,weight=2.000000, tolerance=0.000010, penalty=10 : 1.927845
iteration:6, computational time when k=1,weight=2.000000, tolerance=0.000010, penalty=20 : 1.859029
iteration:6, computational time when k=1,weight=2.000000, tolerance=0.000010, penalty=30 : 1.875984
iteration:6, computational time when k=1,weight=2.000000, tolerance=0.000010, penalty=40 : 1.846064
iteration:6, computational time when k=1,weight=4.000000, tolerance=0.100000, penalty=1 : 1.645600
iteration:6, computational time when k=1,weight=4.000000, tolerance=0.100000, penalty=10 : 1.849056
iteration:6, computational time when k=1,weight=4.000000, tolerance=0.100000, penalty=20 : 2.023589
iteration:6, computational time when k=1,weight=4.000000, tolerance=0.100000, penalty=30 : 1.820133
iteration:6, computational time when k=1,weight=4.000000, tolerance=0.100000, penalty=40 : 1.846063
iteration:6, computational time when k=1,weight=4.000000, tolerance=0.001000, penalty=1 : 1.880970
iteration:6, computational time when k=1,weight=4.000000, tolerance=0.001000, penalty=10 : 1.876981
iteration:6, computational time when k=1,weight=4.000000, tolerance=0.001000, penalty=20 : 1.866010
iteration:6, computational time when k=1,weight=4.000000, tolerance=0.001000, penalty=30 : 1.841077
iteration:6, computational time when k=1,weight=4.000000, tolerance=0.001000, penalty=40 : 1.841077
iteration:6, computational time when k=1,weight=4.000000, tolerance=0.000010, penalty=1 : 1.810160
iteration:6, computational time when k=1,weight=4.000000, tolerance=0.000010, penalty=10 : 1.866011
iteration:6, computational time when k=1,weight=4.000000, tolerance=0.000010, penalty=20 : 1.873989
iteration:6, computational time when k=1,weight=4.000000, tolerance=0.000010, penalty=30 : 1.856037
iteration:6, computational time when k=1,weight=4.000000, tolerance=0.000010, penalty=40 : 1.863019
iteration:6, computational time when k=1,weight=6.000000, tolerance=0.100000, penalty=1 : 1.711424
iteration:6, computational time when k=1,weight=6.000000, tolerance=0.100000, penalty=10 : 1.837088
iteration:6, computational time when k=1,weight=6.000000, tolerance=0.100000, penalty=20 : 1.884960
iteration:6, computational time when k=1,weight=6.000000, tolerance=0.100000, penalty=30 : 1.914880
