iteration:1, computational time when k=1,weight=8.000000, tolerance=0.000010, penalty=10 : 1.869890
iteration:1, computational time when k=1,weight=8.000000, tolerance=0.000010, penalty=20 : 1.949786
iteration:1, computational time when k=1,weight=8.000000, tolerance=0.000010, penalty=30 : 1.879973
iteration:1, computational time when k=1,weight=8.000000, tolerance=0.000010, penalty=40 : 1.914880
iteration:1, computational time when k=2,weight=0.000000, tolerance=0.100000, penalty=1 : 16.273487
iteration:1, computational time when k=2,weight=0.000000, tolerance=0.100000, penalty=10 : 15.940377
iteration:1, computational time when k=2,weight=0.000000, tolerance=0.100000, penalty=20 : 11.935088
iteration:1, computational time when k=2,weight=0.000000, tolerance=0.100000, penalty=30 : 10.525911
iteration:1, computational time when k=2,weight=0.000000, tolerance=0.100000, penalty=40 : 10.206708
iteration:1, computational time when k=2,weight=0.000000, tolerance=0.001000, penalty=1 : 18.812698
iteration:1, computational time when k=2,weight=0.000000, tolerance=0.001000, penalty=10 : 6.570432
iteration:1, computational time when k=2,weight=0.000000, tolerance=0.001000, penalty=20 : 15.867572
iteration:1, computational time when k=2,weight=0.000000, tolerance=0.001000, penalty=30 : 13.862932
iteration:1, computational time when k=2,weight=0.000000, tolerance=0.001000, penalty=40 : 8.956053
iteration:1, computational time when k=2,weight=0.000000, tolerance=0.000010, penalty=1 : 12.521519
iteration:1, computational time when k=2,weight=0.000000, tolerance=0.000010, penalty=10 : 17.328666
iteration:1, computational time when k=2,weight=0.000000, tolerance=0.000010, penalty=20 : 10.237625
iteration:1, computational time when k=2,weight=0.000000, tolerance=0.000010, penalty=30 : 8.546149
iteration:1, computational time when k=2,weight=0.000000, tolerance=0.000010, penalty=40 : 8.407520
iteration:1, computational time when k=2,weight=2.000000, tolerance=0.100000, penalty=1 : 8.367626
iteration:1, computational time when k=2,weight=2.000000, tolerance=0.100000, penalty=10 : 10.663487
iteration:1, computational time when k=2,weight=2.000000, tolerance=0.100000, penalty=20 : 10.747263
iteration:1, computational time when k=2,weight=2.000000, tolerance=0.100000, penalty=30 : 6.982331
iteration:1, computational time when k=2,weight=2.000000, tolerance=0.100000, penalty=40 : 10.620602
iteration:1, computational time when k=2,weight=2.000000, tolerance=0.001000, penalty=1 : 8.939098
iteration:1, computational time when k=2,weight=2.000000, tolerance=0.001000, penalty=10 : 11.056437
iteration:1, computational time when k=2,weight=2.000000, tolerance=0.001000, penalty=20 : 10.938750
iteration:1, computational time when k=2,weight=2.000000, tolerance=0.001000, penalty=30 : 11.187087
iteration:1, computational time when k=2,weight=2.000000, tolerance=0.001000, penalty=40 : 10.780175
iteration:1, computational time when k=2,weight=2.000000, tolerance=0.000010, penalty=1 : 8.655855
iteration:1, computational time when k=2,weight=2.000000, tolerance=0.000010, penalty=10 : 10.711359
iteration:1, computational time when k=2,weight=2.000000, tolerance=0.000010, penalty=20 : 10.722330
iteration:1, computational time when k=2,weight=2.000000, tolerance=0.000010, penalty=30 : 10.607636
iteration:1, computational time when k=2,weight=2.000000, tolerance=0.000010, penalty=40 : 10.813087
iteration:1, computational time when k=2,weight=4.000000, tolerance=0.100000, penalty=1 : 8.352666
iteration:1, computational time when k=2,weight=4.000000, tolerance=0.100000, penalty=10 : 8.871279
iteration:1, computational time when k=2,weight=4.000000, tolerance=0.100000, penalty=20 : 9.078724
iteration:1, computational time when k=2,weight=4.000000, tolerance=0.100000, penalty=30 : 8.707717
iteration:1, computational time when k=2,weight=4.000000, tolerance=0.100000, penalty=40 : 8.900202
iteration:1, computational time when k=2,weight=4.000000, tolerance=0.001000, penalty=1 : 9.027860
iteration:1, computational time when k=2,weight=4.000000, tolerance=0.001000, penalty=10 : 8.783514
iteration:1, computational time when k=2,weight=4.000000, tolerance=0.001000, penalty=20 : 8.794485
iteration:1, computational time when k=2,weight=4.000000, tolerance=0.001000, penalty=30 : 9.163498
iteration:1, computational time when k=2,weight=4.000000, tolerance=0.001000, penalty=40 : 9.169481
iteration:1, computational time when k=2,weight=4.000000, tolerance=0.000010, penalty=1 : 8.978991
iteration:1, computational time when k=2,weight=4.000000, tolerance=0.000010, penalty=10 : 8.689765
iteration:1, computational time when k=2,weight=4.000000, tolerance=0.000010, penalty=20 : 9.225333
iteration:1, computational time when k=2,weight=4.000000, tolerance=0.000010, penalty=30 : 8.831386
iteration:1, computational time when k=2,weight=4.000000, tolerance=0.000010, penalty=40 : 9.037834
iteration:1, computational time when k=2,weight=6.000000, tolerance=0.100000, penalty=1 : 8.188105
iteration:1, computational time when k=2,weight=6.000000, tolerance=0.100000, penalty=10 : 9.276196
iteration:1, computational time when k=2,weight=6.000000, tolerance=0.100000, penalty=20 : 8.929125
iteration:1, computational time when k=2,weight=6.000000, tolerance=0.100000, penalty=30 : 8.884245
iteration:1, computational time when k=2,weight=6.000000, tolerance=0.100000, penalty=40 : 9.018884
iteration:1, computational time when k=2,weight=6.000000, tolerance=0.001000, penalty=1 : 8.800468
iteration:1, computational time when k=2,weight=6.000000, tolerance=0.001000, penalty=10 : 8.789498
iteration:1, computational time when k=2,weight=6.000000, tolerance=0.001000, penalty=20 : 9.028858
iteration:1, computational time when k=2,weight=6.000000, tolerance=0.001000, penalty=30 : 8.754592
iteration:1, computational time when k=2,weight=6.000000, tolerance=0.001000, penalty=40 : 8.654858
iteration:1, computational time when k=2,weight=6.000000, tolerance=0.000010, penalty=1 : 8.876266
iteration:1, computational time when k=2,weight=6.000000, tolerance=0.000010, penalty=10 : 8.830389
iteration:1, computational time when k=2,weight=6.000000, tolerance=0.000010, penalty=20 : 8.975002
iteration:1, computational time when k=2,weight=6.000000, tolerance=0.000010, penalty=30 : 8.874271
iteration:1, computational time when k=2,weight=6.000000, tolerance=0.000010, penalty=40 : 8.770549
iteration:1, computational time when k=2,weight=8.000000, tolerance=0.100000, penalty=1 : 7.962709
iteration:1, computational time when k=2,weight=8.000000, tolerance=0.100000, penalty=10 : 8.890229
iteration:1, computational time when k=2,weight=8.000000, tolerance=0.100000, penalty=20 : 8.978992
iteration:1, computational time when k=2,weight=8.000000, tolerance=0.100000, penalty=30 : 9.035839
iteration:1, computational time when k=2,weight=8.000000, tolerance=0.100000, penalty=40 : 9.098671
iteration:1, computational time when k=2,weight=8.000000, tolerance=0.001000, penalty=1 : 9.368949
iteration:1, computational time when k=2,weight=8.000000, tolerance=0.001000, penalty=10 : 8.990959
iteration:1, computational time when k=2,weight=8.000000, tolerance=0.001000, penalty=20 : 8.969018
iteration:1, computational time when k=2,weight=8.000000, tolerance=0.001000, penalty=30 : 9.186436
iteration:1, computational time when k=2,weight=8.000000, tolerance=0.001000, penalty=40 : 8.783514
iteration:1, computational time when k=2,weight=8.000000, tolerance=0.000010, penalty=1 : 8.941108
iteration:1, computational time when k=2,weight=8.000000, tolerance=0.000010, penalty=10 : 8.725668
iteration:1, computational time when k=2,weight=8.000000, tolerance=0.000010, penalty=20 : 8.695749
iteration:1, computational time when k=2,weight=8.000000, tolerance=0.000010, penalty=30 : 8.996943
iteration:1, computational time when k=2,weight=8.000000, tolerance=0.000010, penalty=40 : 8.777530
iteration:1, computational time when k=3,weight=0.000000, tolerance=0.100000, penalty=1 : 23.901092
iteration:1, computational time when k=3,weight=0.000000, tolerance=0.100000, penalty=10 : 22.938539
iteration:1, computational time when k=3,weight=0.000000, tolerance=0.100000, penalty=20 : 15.051754
iteration:1, computational time when k=3,weight=0.000000, tolerance=0.100000, penalty=30 : 9.520544
iteration:1, computational time when k=3,weight=0.000000, tolerance=0.100000, penalty=40 : 19.465950
iteration:1, computational time when k=3,weight=0.000000, tolerance=0.001000, penalty=1 : 32.180804
iteration:1, computational time when k=3,weight=0.000000, tolerance=0.001000, penalty=10 : 19.877849
iteration:1, computational time when k=3,weight=0.000000, tolerance=0.001000, penalty=20 : 25.140744
iteration:1, computational time when k=3,weight=0.000000, tolerance=0.001000, penalty=30 : 9.218351
iteration:1, computational time when k=3,weight=0.000000, tolerance=0.001000, penalty=40 : 15.026821
iteration:1, computational time when k=3,weight=0.000000, tolerance=0.000010, penalty=1 : 27.706916
iteration:1, computational time when k=3,weight=0.000000, tolerance=0.000010, penalty=10 : 22.432020
iteration:1, computational time when k=3,weight=0.000000, tolerance=0.000010, penalty=20 : 19.499860
iteration:1, computational time when k=3,weight=0.000000, tolerance=0.000010, penalty=30 : 20.172063
iteration:1, computational time when k=3,weight=0.000000, tolerance=0.000010, penalty=40 : 14.273834
iteration:1, computational time when k=3,weight=2.000000, tolerance=0.100000, penalty=1 : 16.660452
iteration:1, computational time when k=3,weight=2.000000, tolerance=0.100000, penalty=10 : 17.832363
iteration:1, computational time when k=3,weight=2.000000, tolerance=0.100000, penalty=20 : 17.868223
iteration:1, computational time when k=3,weight=2.000000, tolerance=0.100000, penalty=30 : 17.616895
iteration:1, computational time when k=3,weight=2.000000, tolerance=0.100000, penalty=40 : 17.884263
iteration:1, computational time when k=3,weight=2.000000, tolerance=0.001000, penalty=1 : 17.568025
iteration:1, computational time when k=3,weight=2.000000, tolerance=0.001000, penalty=10 : 17.638836
iteration:1, computational time when k=3,weight=2.000000, tolerance=0.001000, penalty=20 : 20.775449
iteration:1, computational time when k=3,weight=2.000000, tolerance=0.001000, penalty=30 : 17.441364
iteration:1, computational time when k=3,weight=2.000000, tolerance=0.001000, penalty=40 : 20.327646
iteration:1, computational time when k=3,weight=2.000000, tolerance=0.000010, penalty=1 : 17.788437
iteration:1, computational time when k=3,weight=2.000000, tolerance=0.000010, penalty=10 : 18.268153
iteration:1, computational time when k=3,weight=2.000000, tolerance=0.000010, penalty=20 : 17.777466
iteration:1, computational time when k=3,weight=2.000000, tolerance=0.000010, penalty=30 : 17.481258
iteration:1, computational time when k=3,weight=2.000000, tolerance=0.000010, penalty=40 : 18.431716
iteration:1, computational time when k=3,weight=4.000000, tolerance=0.100000, penalty=1 : 17.018495
iteration:1, computational time when k=3,weight=4.000000, tolerance=0.100000, penalty=10 : 17.755524
iteration:1, computational time when k=3,weight=4.000000, tolerance=0.100000, penalty=20 : 17.800470
iteration:1, computational time when k=3,weight=4.000000, tolerance=0.100000, penalty=30 : 17.579994
iteration:1, computational time when k=3,weight=4.000000, tolerance=0.100000, penalty=40 : 17.775471
iteration:1, computational time when k=3,weight=4.000000, tolerance=0.001000, penalty=1 : 17.621881
iteration:1, computational time when k=3,weight=4.000000, tolerance=0.001000, penalty=10 : 17.583983
iteration:1, computational time when k=3,weight=4.000000, tolerance=0.001000, penalty=20 : 17.609914
iteration:1, computational time when k=3,weight=4.000000, tolerance=0.001000, penalty=30 : 17.971945
iteration:1, computational time when k=3,weight=4.000000, tolerance=0.001000, penalty=40 : 17.501203
iteration:1, computational time when k=3,weight=4.000000, tolerance=0.000010, penalty=1 : 17.575007
iteration:1, computational time when k=3,weight=4.000000, tolerance=0.000010, penalty=10 : 17.968954
iteration:1, computational time when k=3,weight=4.000000, tolerance=0.000010, penalty=20 : 18.071678
iteration:1, computational time when k=3,weight=4.000000, tolerance=0.000010, penalty=30 : 15.079680
iteration:1, computational time when k=3,weight=4.000000, tolerance=0.000010, penalty=40 : 17.511178
iteration:1, computational time when k=3,weight=6.000000, tolerance=0.100000, penalty=1 : 16.853935
iteration:1, computational time when k=3,weight=6.000000, tolerance=0.100000, penalty=10 : 17.577999
iteration:1, computational time when k=3,weight=6.000000, tolerance=0.100000, penalty=20 : 17.945017
iteration:1, computational time when k=3,weight=6.000000, tolerance=0.100000, penalty=30 : 18.178393
iteration:1, computational time when k=3,weight=6.000000, tolerance=0.100000, penalty=40 : 17.919087
iteration:1, computational time when k=3,weight=6.000000, tolerance=0.001000, penalty=1 : 17.822345
iteration:1, computational time when k=3,weight=6.000000, tolerance=0.001000, penalty=10 : 18.041759
iteration:1, computational time when k=3,weight=6.000000, tolerance=0.001000, penalty=20 : 17.594953
iteration:1, computational time when k=3,weight=6.000000, tolerance=0.001000, penalty=30 : 17.403465
iteration:1, computational time when k=3,weight=6.000000, tolerance=0.001000, penalty=40 : 17.330561
iteration:1, computational time when k=3,weight=6.000000, tolerance=0.000010, penalty=1 : 18.010842
iteration:1, computational time when k=3,weight=6.000000, tolerance=0.000010, penalty=10 : 17.438515
iteration:1, computational time when k=3,weight=6.000000, tolerance=0.000010, penalty=20 : 17.506191
iteration:1, computational time when k=3,weight=6.000000, tolerance=0.000010, penalty=30 : 17.726602
iteration:1, computational time when k=3,weight=6.000000, tolerance=0.000010, penalty=40 : 18.086639
iteration:1, computational time when k=3,weight=8.000000, tolerance=0.100000, penalty=1 : 16.962645
iteration:1, computational time when k=3,weight=8.000000, tolerance=0.100000, penalty=10 : 17.585978
iteration:1, computational time when k=3,weight=8.000000, tolerance=0.100000, penalty=20 : 17.719620
iteration:1, computational time when k=3,weight=8.000000, tolerance=0.100000, penalty=30 : 17.782451
iteration:1, computational time when k=3,weight=8.000000, tolerance=0.100000, penalty=40 : 18.061706
iteration:1, computational time when k=3,weight=8.000000, tolerance=0.001000, penalty=1 : 17.638836
iteration:1, computational time when k=3,weight=8.000000, tolerance=0.001000, penalty=10 : 17.438372
iteration:1, computational time when k=3,weight=8.000000, tolerance=0.001000, penalty=20 : 17.688703
iteration:1, computational time when k=3,weight=8.000000, tolerance=0.001000, penalty=30 : 17.769488
iteration:1, computational time when k=3,weight=8.000000, tolerance=0.001000, penalty=40 : 17.906122
iteration:1, computational time when k=3,weight=8.000000, tolerance=0.000010, penalty=1 : 18.163433
iteration:1, computational time when k=3,weight=8.000000, tolerance=0.000010, penalty=10 : 17.369557
iteration:1, computational time when k=3,weight=8.000000, tolerance=0.000010, penalty=20 : 18.353924
iteration:1, computational time when k=3,weight=8.000000, tolerance=0.000010, penalty=30 : 17.982917
iteration:1, computational time when k=3,weight=8.000000, tolerance=0.000010, penalty=40 : 18.047743
iteration:1, computational time when k=4,weight=0.000000, tolerance=0.100000, penalty=1 : 34.811917
iteration:1, computational time when k=4,weight=0.000000, tolerance=0.100000, penalty=10 : 38.593714
iteration:1, computational time when k=4,weight=0.000000, tolerance=0.100000, penalty=20 : 25.306335
iteration:1, computational time when k=4,weight=0.000000, tolerance=0.100000, penalty=30 : 32.705550
iteration:1, computational time when k=4,weight=0.000000, tolerance=0.100000, penalty=40 : 29.297662
iteration:1, computational time when k=4,weight=0.000000, tolerance=0.001000, penalty=1 : 22.413070
iteration:1, computational time when k=4,weight=0.000000, tolerance=0.001000, penalty=10 : 21.519460
iteration:1, computational time when k=4,weight=0.000000, tolerance=0.001000, penalty=20 : 28.958569
iteration:1, computational time when k=4,weight=0.000000, tolerance=0.001000, penalty=30 : 18.988228
iteration:1, computational time when k=4,weight=0.000000, tolerance=0.001000, penalty=40 : 15.767839
iteration:1, computational time when k=4,weight=0.000000, tolerance=0.000010, penalty=1 : 39.542270
iteration:1, computational time when k=4,weight=0.000000, tolerance=0.000010, penalty=10 : 25.371160
iteration:1, computational time when k=4,weight=0.000000, tolerance=0.000010, penalty=20 : 22.264468
iteration:1, computational time when k=4,weight=0.000000, tolerance=0.000010, penalty=30 : 25.725214
iteration:1, computational time when k=4,weight=0.000000, tolerance=0.000010, penalty=40 : 15.529476
iteration:1, computational time when k=4,weight=2.000000, tolerance=0.100000, penalty=1 : 15.775817
iteration:1, computational time when k=4,weight=2.000000, tolerance=0.100000, penalty=10 : 19.244543
iteration:1, computational time when k=4,weight=2.000000, tolerance=0.100000, penalty=20 : 19.416084
iteration:1, computational time when k=4,weight=2.000000, tolerance=0.100000, penalty=30 : 19.355247
iteration:1, computational time when k=4,weight=2.000000, tolerance=0.100000, penalty=40 : 15.654144
iteration:1, computational time when k=4,weight=2.000000, tolerance=0.001000, penalty=1 : 15.530474
iteration:1, computational time when k=4,weight=2.000000, tolerance=0.001000, penalty=10 : 18.977258
iteration:1, computational time when k=4,weight=2.000000, tolerance=0.001000, penalty=20 : 19.358238
iteration:1, computational time when k=4,weight=2.000000, tolerance=0.001000, penalty=30 : 19.081977
iteration:1, computational time when k=4,weight=2.000000, tolerance=0.001000, penalty=40 : 19.990548
iteration:1, computational time when k=4,weight=2.000000, tolerance=0.000010, penalty=1 : 16.750212
iteration:1, computational time when k=4,weight=2.000000, tolerance=0.000010, penalty=10 : 19.447002
iteration:1, computational time when k=4,weight=2.000000, tolerance=0.000010, penalty=20 : 19.210634
iteration:1, computational time when k=4,weight=2.000000, tolerance=0.000010, penalty=30 : 19.337294
iteration:1, computational time when k=4,weight=2.000000, tolerance=0.000010, penalty=40 : 15.863583
iteration:1, computational time when k=4,weight=4.000000, tolerance=0.100000, penalty=1 : 15.056740
iteration:1, computational time when k=4,weight=4.000000, tolerance=0.100000, penalty=10 : 16.383193
iteration:1, computational time when k=4,weight=4.000000, tolerance=0.100000, penalty=20 : 19.885828
iteration:1, computational time when k=4,weight=4.000000, tolerance=0.100000, penalty=30 : 15.822693
iteration:1, computational time when k=4,weight=4.000000, tolerance=0.100000, penalty=40 : 15.797759
iteration:1, computational time when k=4,weight=4.000000, tolerance=0.001000, penalty=1 : 15.750884
iteration:1, computational time when k=4,weight=4.000000, tolerance=0.001000, penalty=10 : 19.360233
iteration:1, computational time when k=4,weight=4.000000, tolerance=0.001000, penalty=20 : 15.819701
iteration:1, computational time when k=4,weight=4.000000, tolerance=0.001000, penalty=30 : 16.188714
iteration:1, computational time when k=4,weight=4.000000, tolerance=0.001000, penalty=40 : 19.301390
iteration:1, computational time when k=4,weight=4.000000, tolerance=0.000010, penalty=1 : 16.044101
iteration:1, computational time when k=4,weight=4.000000, tolerance=0.000010, penalty=10 : 15.872647
iteration:1, computational time when k=4,weight=4.000000, tolerance=0.000010, penalty=20 : 15.786789
iteration:1, computational time when k=4,weight=4.000000, tolerance=0.000010, penalty=30 : 15.877545
iteration:1, computational time when k=4,weight=4.000000, tolerance=0.000010, penalty=40 : 16.427076
iteration:1, computational time when k=4,weight=6.000000, tolerance=0.100000, penalty=1 : 15.365913
iteration:1, computational time when k=4,weight=6.000000, tolerance=0.100000, penalty=10 : 15.836655
iteration:1, computational time when k=4,weight=6.000000, tolerance=0.100000, penalty=20 : 15.845631
