0.1	0.11	0.12	0.1	0.1
0.11	0.13	0.11	0.26	0.13
0.19	0.19	0.68	0.19	0.19
0.21	1.24	0.31	0.31	0.26
				
0.5	0.19	0.13	0.19	0.14
0.71	0.22	0.17	0.19	0.66
0.27	0.29	0.23	0.21	0.21
0.26	0.26	0.22	0.58	0.35
				
0.1	0.48	0.15	0.14	0.13
0.14	0.47	0.14	0.38	0.13
0.2	0.21	0.65	0.2	0.2
0.27	0.38	0.28	0.22	0.22
				
0.1	0.11	0.11	0.11	0.1
0.13	0.13	0.13	0.12	0.12
0.2	0.2	0.2	0.2	0.23
0.8	0.32	0.27	0.86	0.2
				
0.1	0.1	0.12	0.21	0.18
0.13	0.24	0.12	0.12	0.12
0.19	0.21	0.62	0.26	0.2
0.35	0.38	0.28	0.27	0.21
				
0.09	0.1	0.1	0.11	0.11
0.13	0.13	0.15	0.14	0.13
0.22	0.23	0.18	0.57	0.19
0.2	0.21	0.23	0.22	0.22
				
0.18	0.16	0.51	0.16	0.11
0.13	0.12	0.15	0.11	0.12
0.19	0.22	0.18	0.34	0.37
0.21	0.21	0.21	0.19	0.22
				
0.09	0.11	0.1	0.1	0.39
0.14	0.13	0.13	0.12	0.12
0.19	0.18	0.52	0.19	0.2
0.65	0.37	0.4	0.31	0.3
				
0.37	0.09	0.11	0.14	0.1
0.11	0.12	0.13	0.14	0.13
0.28	0.22	0.22	0.62	0.19
0.24	0.19	0.25	0.21	0.21
				
0.1	0.1	0.14	0.1	0.14
0.11	0.11	0.11	0.12	0.12
0.52	0.23	0.3	0.36	0.43
0.2	0.21	0.24	0.21	0.23
