0.11	0.1	0.12	0.11	0.13
0.13	0.13	0.14	0.13	0.14
0.21	0.75	0.22	0.21	0.2
1.58	0.92	0.26	0.31	0.24
				
0.14	0.14	0.15	0.46	0.1
0.13	0.14	0.15	0.62	0.14
0.35	0.22	0.66	0.22	0.23
0.99	0.46	0.23	0.67	0.64
				
0.1	0.1	0.12	0.11	0.11
0.16	0.21	0.23	0.18	0.24
0.22	0.3	0.27	0.71	0.25
0.28	0.26	0.24	0.78	0.24
				
0.12	0.15	0.14	0.15	0.26
0.21	0.17	0.21	0.17	0.29
0.22	0.21	0.82	0.19	0.2
1.12	0.24	0.22	0.47	0.47
				
0.11	0.11	0.11	0.1	0.1
0.18	0.19	0.15	0.13	0.32
0.21	0.42	0.33	0.26	2.22
0.25	0.23	0.6	0.24	1.26
				
0.66	0.15	0.14	0.1	0.11
0.13	0.28	0.13	0.13	0.14
0.53	0.42	0.21	0.54	0.22
0.26	1.19	0.6	0.65	0.25
				
0.13	0.45	0.15	0.15	0.15
0.18	0.18	0.2	0.15	0.19
0.17	0.49	0.2	0.46	0.21
0.23	0.46	0.69	0.97	0.45
				
0.16	0.1	0.1	0.11	0.11
0.17	0.13	0.17	0.16	0.16
0.71	0.38	0.23	0.21	0.2
0.24	0.72	0.24	0.25	0.25
				
0.17	0.11	0.11	0.12	0.11
0.13	0.13	0.13	0.13	0.24
0.55	0.2	0.23	0.27	0.25
0.42	0.64	0.64	0.23	0.29
				
0.13	0.17	0.22	0.18	0.14
0.13	0.13	0.13	0.14	0.16
0.24	0.23	0.24	0.35	0.84
0.23	0.25	0.24	0.52	0.24
