68.960	73.043	77.126	81.210	85.293
58.622	62.658	40.915	44.661	48.408
29.098	33.613	37.265	45.102	48.769
24.884	32.393	35.111	37.829	40.546

68.960	73.043	77.126	81.210	85.293
57.249	60.540	63.832	67.123	70.085
28.853	32.664	36.475	40.285	44.229
25.096	27.897	30.679	32.829	32.265

68.960	73.043	77.126	81.210	85.293
41.191	45.220	49.249	53.277	57.306
26.765	30.042	33.320	35.478	38.271
27.594	30.337	33.784	36.304	38.870

68.960	73.043	77.126	81.210	85.293
30.619	36.774	40.587	44.401	48.260
40.317	35.843	46.260	48.707	50.844
25.341	28.062	30.782	33.502	36.223

68.960	73.043	77.126	81.210	85.293
30.619	34.679	38.738	53.277	57.306
29.700	33.099	36.325	39.551	43.631
25.788	28.005	30.538	32.472	37.314

68.960	73.043	77.126	81.210	85.293
53.629	57.401	60.888	64.588	68.289
27.429	29.881	33.248	36.616	39.984
26.756	30.045	36.347	35.720	37.838

68.960	73.043	77.126	81.210	85.293
53.486	57.187	60.888	64.588	70.762
44.284	45.091	47.532	56.481	59.877
32.585	36.486	41.831	45.289	48.874

68.960	73.043	77.126	81.210	85.293
30.619	35.740	39.571	43.403	47.235
30.310	32.635	35.218	38.480	42.633
27.953	27.561	29.870	37.657	40.557

68.960	73.043	77.126	81.210	85.293
30.619	34.679	39.571	43.403	47.235
31.320	35.613	40.561	44.220	45.887
30.257	34.252	36.623	38.994	40.993

68.960	73.043	77.126	81.210	85.293
30.619	35.740	39.571	43.403	47.235
30.426	34.294	38.163	42.032	42.577
24.901	27.710	30.283	33.694	36.189

