K=1,weight=8.000000,tolerance=0.000010, penalty=30, maximum training acc=0.9721428571428572
K=1,weight=8.000000,tolerance=0.000010, penalty=40, maximum training acc=0.9778571428571429
K=2,weight=0.000000,tolerance=0.100000, penalty=1, maximum training acc=0.9921428571428571
K=2,weight=0.000000,tolerance=0.100000, penalty=10, maximum training acc=0.9921428571428571
K=2,weight=0.000000,tolerance=0.100000, penalty=20, maximum training acc=0.9935714285714285
K=2,weight=0.000000,tolerance=0.100000, penalty=30, maximum training acc=0.9928571428571429
K=2,weight=0.000000,tolerance=0.100000, penalty=40, maximum training acc=0.9957142857142857
K=2,weight=0.000000,tolerance=0.001000, penalty=1, maximum training acc=0.9921428571428571
K=2,weight=0.000000,tolerance=0.001000, penalty=10, maximum training acc=0.9921428571428571
K=2,weight=0.000000,tolerance=0.001000, penalty=20, maximum training acc=0.9928571428571429
K=2,weight=0.000000,tolerance=0.001000, penalty=30, maximum training acc=0.995
K=2,weight=0.000000,tolerance=0.001000, penalty=40, maximum training acc=0.9935714285714285
K=2,weight=0.000000,tolerance=0.000010, penalty=1, maximum training acc=0.9921428571428571
K=2,weight=0.000000,tolerance=0.000010, penalty=10, maximum training acc=0.9921428571428571
K=2,weight=0.000000,tolerance=0.000010, penalty=20, maximum training acc=0.9935714285714285
K=2,weight=0.000000,tolerance=0.000010, penalty=30, maximum training acc=0.9928571428571429
K=2,weight=0.000000,tolerance=0.000010, penalty=40, maximum training acc=0.995
K=2,weight=2.000000,tolerance=0.100000, penalty=1, maximum training acc=0.9814285714285714
K=2,weight=2.000000,tolerance=0.100000, penalty=10, maximum training acc=0.9814285714285714
K=2,weight=2.000000,tolerance=0.100000, penalty=20, maximum training acc=0.9821428571428571
K=2,weight=2.000000,tolerance=0.100000, penalty=30, maximum training acc=0.9828571428571429
K=2,weight=2.000000,tolerance=0.100000, penalty=40, maximum training acc=0.9821428571428571
K=2,weight=2.000000,tolerance=0.001000, penalty=1, maximum training acc=0.9821428571428571
K=2,weight=2.000000,tolerance=0.001000, penalty=10, maximum training acc=0.9814285714285714
K=2,weight=2.000000,tolerance=0.001000, penalty=20, maximum training acc=0.9821428571428571
K=2,weight=2.000000,tolerance=0.001000, penalty=30, maximum training acc=0.9828571428571429
K=2,weight=2.000000,tolerance=0.001000, penalty=40, maximum training acc=0.9821428571428571
K=2,weight=2.000000,tolerance=0.000010, penalty=1, maximum training acc=0.9821428571428571
K=2,weight=2.000000,tolerance=0.000010, penalty=10, maximum training acc=0.9821428571428571
K=2,weight=2.000000,tolerance=0.000010, penalty=20, maximum training acc=0.9821428571428571
K=2,weight=2.000000,tolerance=0.000010, penalty=30, maximum training acc=0.9821428571428571
K=2,weight=2.000000,tolerance=0.000010, penalty=40, maximum training acc=0.9835714285714285
K=2,weight=4.000000,tolerance=0.100000, penalty=1, maximum training acc=0.9814285714285714
K=2,weight=4.000000,tolerance=0.100000, penalty=10, maximum training acc=0.9814285714285714
K=2,weight=4.000000,tolerance=0.100000, penalty=20, maximum training acc=0.9821428571428571
K=2,weight=4.000000,tolerance=0.100000, penalty=30, maximum training acc=0.9821428571428571
K=2,weight=4.000000,tolerance=0.100000, penalty=40, maximum training acc=0.9821428571428571
K=2,weight=4.000000,tolerance=0.001000, penalty=1, maximum training acc=0.9821428571428571
K=2,weight=4.000000,tolerance=0.001000, penalty=10, maximum training acc=0.9828571428571429
K=2,weight=4.000000,tolerance=0.001000, penalty=20, maximum training acc=0.9828571428571429
K=2,weight=4.000000,tolerance=0.001000, penalty=30, maximum training acc=0.9821428571428571
K=2,weight=4.000000,tolerance=0.001000, penalty=40, maximum training acc=0.9821428571428571
K=2,weight=4.000000,tolerance=0.000010, penalty=1, maximum training acc=0.9821428571428571
K=2,weight=4.000000,tolerance=0.000010, penalty=10, maximum training acc=0.9828571428571429
K=2,weight=4.000000,tolerance=0.000010, penalty=20, maximum training acc=0.9828571428571429
K=2,weight=4.000000,tolerance=0.000010, penalty=30, maximum training acc=0.9821428571428571
K=2,weight=4.000000,tolerance=0.000010, penalty=40, maximum training acc=0.9828571428571429
K=2,weight=6.000000,tolerance=0.100000, penalty=1, maximum training acc=0.9814285714285714
K=2,weight=6.000000,tolerance=0.100000, penalty=10, maximum training acc=0.9828571428571429
K=2,weight=6.000000,tolerance=0.100000, penalty=20, maximum training acc=0.9828571428571429
K=2,weight=6.000000,tolerance=0.100000, penalty=30, maximum training acc=0.9828571428571429
K=2,weight=6.000000,tolerance=0.100000, penalty=40, maximum training acc=0.9821428571428571
K=2,weight=6.000000,tolerance=0.001000, penalty=1, maximum training acc=0.9814285714285714
K=2,weight=6.000000,tolerance=0.001000, penalty=10, maximum training acc=0.9835714285714285
K=2,weight=6.000000,tolerance=0.001000, penalty=20, maximum training acc=0.9821428571428571
K=2,weight=6.000000,tolerance=0.001000, penalty=30, maximum training acc=0.9828571428571429
K=2,weight=6.000000,tolerance=0.001000, penalty=40, maximum training acc=0.9821428571428571
K=2,weight=6.000000,tolerance=0.000010, penalty=1, maximum training acc=0.9814285714285714
K=2,weight=6.000000,tolerance=0.000010, penalty=10, maximum training acc=0.9835714285714285
K=2,weight=6.000000,tolerance=0.000010, penalty=20, maximum training acc=0.9828571428571429
K=2,weight=6.000000,tolerance=0.000010, penalty=30, maximum training acc=0.9821428571428571
K=2,weight=6.000000,tolerance=0.000010, penalty=40, maximum training acc=0.9821428571428571
K=2,weight=8.000000,tolerance=0.100000, penalty=1, maximum training acc=0.9814285714285714
K=2,weight=8.000000,tolerance=0.100000, penalty=10, maximum training acc=0.9828571428571429
K=2,weight=8.000000,tolerance=0.100000, penalty=20, maximum training acc=0.9835714285714285
K=2,weight=8.000000,tolerance=0.100000, penalty=30, maximum training acc=0.9821428571428571
K=2,weight=8.000000,tolerance=0.100000, penalty=40, maximum training acc=0.9828571428571429
K=2,weight=8.000000,tolerance=0.001000, penalty=1, maximum training acc=0.9814285714285714
K=2,weight=8.000000,tolerance=0.001000, penalty=10, maximum training acc=0.9821428571428571
K=2,weight=8.000000,tolerance=0.001000, penalty=20, maximum training acc=0.9835714285714285
K=2,weight=8.000000,tolerance=0.001000, penalty=30, maximum training acc=0.9828571428571429
K=2,weight=8.000000,tolerance=0.001000, penalty=40, maximum training acc=0.9828571428571429
K=2,weight=8.000000,tolerance=0.000010, penalty=1, maximum training acc=0.9814285714285714
K=2,weight=8.000000,tolerance=0.000010, penalty=10, maximum training acc=0.9821428571428571
K=2,weight=8.000000,tolerance=0.000010, penalty=20, maximum training acc=0.9821428571428571
K=2,weight=8.000000,tolerance=0.000010, penalty=30, maximum training acc=0.9821428571428571
K=2,weight=8.000000,tolerance=0.000010, penalty=40, maximum training acc=0.9807142857142858
K=3,weight=0.000000,tolerance=0.100000, penalty=1, maximum training acc=0.9928571428571429
K=3,weight=0.000000,tolerance=0.100000, penalty=10, maximum training acc=0.9964285714285714
K=3,weight=0.000000,tolerance=0.100000, penalty=20, maximum training acc=0.9957142857142857
K=3,weight=0.000000,tolerance=0.100000, penalty=30, maximum training acc=0.9971428571428571
K=3,weight=0.000000,tolerance=0.100000, penalty=40, maximum training acc=0.9957142857142857
K=3,weight=0.000000,tolerance=0.001000, penalty=1, maximum training acc=0.9942857142857143
K=3,weight=0.000000,tolerance=0.001000, penalty=10, maximum training acc=0.9957142857142857
K=3,weight=0.000000,tolerance=0.001000, penalty=20, maximum training acc=0.9964285714285714
K=3,weight=0.000000,tolerance=0.001000, penalty=30, maximum training acc=0.9964285714285714
K=3,weight=0.000000,tolerance=0.001000, penalty=40, maximum training acc=0.9957142857142857
K=3,weight=0.000000,tolerance=0.000010, penalty=1, maximum training acc=0.9942857142857143
K=3,weight=0.000000,tolerance=0.000010, penalty=10, maximum training acc=0.9957142857142857
K=3,weight=0.000000,tolerance=0.000010, penalty=20, maximum training acc=0.9978571428571429
K=3,weight=0.000000,tolerance=0.000010, penalty=30, maximum training acc=0.9964285714285714
K=3,weight=0.000000,tolerance=0.000010, penalty=40, maximum training acc=0.9971428571428571
K=3,weight=2.000000,tolerance=0.100000, penalty=1, maximum training acc=0.98
K=3,weight=2.000000,tolerance=0.100000, penalty=10, maximum training acc=0.9828571428571429
K=3,weight=2.000000,tolerance=0.100000, penalty=20, maximum training acc=0.9835714285714285
K=3,weight=2.000000,tolerance=0.100000, penalty=30, maximum training acc=0.985
K=3,weight=2.000000,tolerance=0.100000, penalty=40, maximum training acc=0.9857142857142858
K=3,weight=2.000000,tolerance=0.001000, penalty=1, maximum training acc=0.98
K=3,weight=2.000000,tolerance=0.001000, penalty=10, maximum training acc=0.9828571428571429
K=3,weight=2.000000,tolerance=0.001000, penalty=20, maximum training acc=0.9842857142857143
K=3,weight=2.000000,tolerance=0.001000, penalty=30, maximum training acc=0.985
K=3,weight=2.000000,tolerance=0.001000, penalty=40, maximum training acc=0.985
K=3,weight=2.000000,tolerance=0.000010, penalty=1, maximum training acc=0.98
K=3,weight=2.000000,tolerance=0.000010, penalty=10, maximum training acc=0.9828571428571429
K=3,weight=2.000000,tolerance=0.000010, penalty=20, maximum training acc=0.9842857142857143
K=3,weight=2.000000,tolerance=0.000010, penalty=30, maximum training acc=0.985
K=3,weight=2.000000,tolerance=0.000010, penalty=40, maximum training acc=0.985
K=3,weight=4.000000,tolerance=0.100000, penalty=1, maximum training acc=0.9757142857142858
K=3,weight=4.000000,tolerance=0.100000, penalty=10, maximum training acc=0.9835714285714285
K=3,weight=4.000000,tolerance=0.100000, penalty=20, maximum training acc=0.98
K=3,weight=4.000000,tolerance=0.100000, penalty=30, maximum training acc=0.985
K=3,weight=4.000000,tolerance=0.100000, penalty=40, maximum training acc=0.9835714285714285
K=3,weight=4.000000,tolerance=0.001000, penalty=1, maximum training acc=0.9792857142857143
K=3,weight=4.000000,tolerance=0.001000, penalty=10, maximum training acc=0.9835714285714285
K=3,weight=4.000000,tolerance=0.001000, penalty=20, maximum training acc=0.9842857142857143
K=3,weight=4.000000,tolerance=0.001000, penalty=30, maximum training acc=0.9835714285714285
K=3,weight=4.000000,tolerance=0.001000, penalty=40, maximum training acc=0.9842857142857143
K=3,weight=4.000000,tolerance=0.000010, penalty=1, maximum training acc=0.9792857142857143
K=3,weight=4.000000,tolerance=0.000010, penalty=10, maximum training acc=0.9842857142857143
K=3,weight=4.000000,tolerance=0.000010, penalty=20, maximum training acc=0.9842857142857143
K=3,weight=4.000000,tolerance=0.000010, penalty=30, maximum training acc=0.9835714285714285
K=3,weight=4.000000,tolerance=0.000010, penalty=40, maximum training acc=0.9828571428571429
K=3,weight=6.000000,tolerance=0.100000, penalty=1, maximum training acc=0.9792857142857143
K=3,weight=6.000000,tolerance=0.100000, penalty=10, maximum training acc=0.9821428571428571
K=3,weight=6.000000,tolerance=0.100000, penalty=20, maximum training acc=0.9821428571428571
K=3,weight=6.000000,tolerance=0.100000, penalty=30, maximum training acc=0.9828571428571429
K=3,weight=6.000000,tolerance=0.100000, penalty=40, maximum training acc=0.9828571428571429
K=3,weight=6.000000,tolerance=0.001000, penalty=1, maximum training acc=0.9778571428571429
K=3,weight=6.000000,tolerance=0.001000, penalty=10, maximum training acc=0.9821428571428571
K=3,weight=6.000000,tolerance=0.001000, penalty=20, maximum training acc=0.9828571428571429
K=3,weight=6.000000,tolerance=0.001000, penalty=30, maximum training acc=0.98
K=3,weight=6.000000,tolerance=0.001000, penalty=40, maximum training acc=0.9821428571428571
K=3,weight=6.000000,tolerance=0.000010, penalty=1, maximum training acc=0.9778571428571429
K=3,weight=6.000000,tolerance=0.000010, penalty=10, maximum training acc=0.9821428571428571
K=3,weight=6.000000,tolerance=0.000010, penalty=20, maximum training acc=0.9828571428571429
K=3,weight=6.000000,tolerance=0.000010, penalty=30, maximum training acc=0.9821428571428571
K=3,weight=6.000000,tolerance=0.000010, penalty=40, maximum training acc=0.9814285714285714
K=3,weight=8.000000,tolerance=0.100000, penalty=1, maximum training acc=0.9742857142857143
K=3,weight=8.000000,tolerance=0.100000, penalty=10, maximum training acc=0.9785714285714285
K=3,weight=8.000000,tolerance=0.100000, penalty=20, maximum training acc=0.9821428571428571
K=3,weight=8.000000,tolerance=0.100000, penalty=30, maximum training acc=0.9821428571428571
K=3,weight=8.000000,tolerance=0.100000, penalty=40, maximum training acc=0.9842857142857143
K=3,weight=8.000000,tolerance=0.001000, penalty=1, maximum training acc=0.9742857142857143
K=3,weight=8.000000,tolerance=0.001000, penalty=10, maximum training acc=0.98
K=3,weight=8.000000,tolerance=0.001000, penalty=20, maximum training acc=0.9821428571428571
K=3,weight=8.000000,tolerance=0.001000, penalty=30, maximum training acc=0.9807142857142858
K=3,weight=8.000000,tolerance=0.001000, penalty=40, maximum training acc=0.9821428571428571
K=3,weight=8.000000,tolerance=0.000010, penalty=1, maximum training acc=0.9742857142857143
K=3,weight=8.000000,tolerance=0.000010, penalty=10, maximum training acc=0.98
K=3,weight=8.000000,tolerance=0.000010, penalty=20, maximum training acc=0.9821428571428571
K=3,weight=8.000000,tolerance=0.000010, penalty=30, maximum training acc=0.98
K=3,weight=8.000000,tolerance=0.000010, penalty=40, maximum training acc=0.9821428571428571
K=4,weight=0.000000,tolerance=0.100000, penalty=1, maximum training acc=0.9985714285714286
K=4,weight=0.000000,tolerance=0.100000, penalty=10, maximum training acc=0.9964285714285714
K=4,weight=0.000000,tolerance=0.100000, penalty=20, maximum training acc=0.9964285714285714
