K=1,weight=8.000000,tolerance=0.001000, penalty=10,training time : 0.483706, testing time: 0.019947 
K=1,weight=8.000000,tolerance=0.001000, penalty=20,training time : 0.548533, testing time: 0.017953 
K=1,weight=8.000000,tolerance=0.001000, penalty=30,training time : 0.583439, testing time: 0.018950 
K=1,weight=8.000000,tolerance=0.001000, penalty=40,training time : 0.491686, testing time: 0.021942 
K=1,weight=8.000000,tolerance=0.000010, penalty=1,training time : 0.536566, testing time: 0.021943 
K=1,weight=8.000000,tolerance=0.000010, penalty=10,training time : 0.472737, testing time: 0.025932 
K=1,weight=8.000000,tolerance=0.000010, penalty=20,training time : 0.573467, testing time: 0.021942 
K=1,weight=8.000000,tolerance=0.000010, penalty=30,training time : 0.610368, testing time: 0.018949 
K=1,weight=8.000000,tolerance=0.000010, penalty=40,training time : 0.555514, testing time: 0.019947 
K=2,weight=0.000000,tolerance=0.100000, penalty=1,training time : 4.141925, testing time: 0.023937 
K=2,weight=0.000000,tolerance=0.100000, penalty=10,training time : 2.547189, testing time: 0.028923 
K=2,weight=0.000000,tolerance=0.100000, penalty=20,training time : 2.105370, testing time: 0.023936 
K=2,weight=0.000000,tolerance=0.100000, penalty=30,training time : 2.105370, testing time: 0.024934 
K=2,weight=0.000000,tolerance=0.100000, penalty=40,training time : 2.110358, testing time: 0.022939 
K=2,weight=0.000000,tolerance=0.001000, penalty=1,training time : 4.652560, testing time: 0.023937 
K=2,weight=0.000000,tolerance=0.001000, penalty=10,training time : 2.623984, testing time: 0.023936 
K=2,weight=0.000000,tolerance=0.001000, penalty=20,training time : 2.121328, testing time: 0.028922 
K=2,weight=0.000000,tolerance=0.001000, penalty=30,training time : 3.663205, testing time: 0.023936 
K=2,weight=0.000000,tolerance=0.001000, penalty=40,training time : 2.115344, testing time: 0.024934 
K=2,weight=0.000000,tolerance=0.000010, penalty=1,training time : 4.809141, testing time: 0.024933 
K=2,weight=0.000000,tolerance=0.000010, penalty=10,training time : 2.691803, testing time: 0.023937 
K=2,weight=0.000000,tolerance=0.000010, penalty=20,training time : 2.574118, testing time: 0.023936 
K=2,weight=0.000000,tolerance=0.000010, penalty=30,training time : 1.682501, testing time: 0.022909 
K=2,weight=0.000000,tolerance=0.000010, penalty=40,training time : 3.126640, testing time: 0.023936 
K=2,weight=2.000000,tolerance=0.100000, penalty=1,training time : 2.413547, testing time: 0.022940 
K=2,weight=2.000000,tolerance=0.100000, penalty=10,training time : 2.529237, testing time: 0.024893 
K=2,weight=2.000000,tolerance=0.100000, penalty=20,training time : 2.450447, testing time: 0.023936 
K=2,weight=2.000000,tolerance=0.100000, penalty=30,training time : 2.505302, testing time: 0.022938 
K=2,weight=2.000000,tolerance=0.100000, penalty=40,training time : 2.453440, testing time: 0.022939 
K=2,weight=2.000000,tolerance=0.001000, penalty=1,training time : 2.358693, testing time: 0.022939 
K=2,weight=2.000000,tolerance=0.001000, penalty=10,training time : 2.486465, testing time: 0.023936 
K=2,weight=2.000000,tolerance=0.001000, penalty=20,training time : 2.595183, testing time: 0.024933 
K=2,weight=2.000000,tolerance=0.001000, penalty=30,training time : 2.442469, testing time: 0.023937 
K=2,weight=2.000000,tolerance=0.001000, penalty=40,training time : 2.489344, testing time: 0.029920 
K=2,weight=2.000000,tolerance=0.000010, penalty=1,training time : 2.465408, testing time: 0.023937 
K=2,weight=2.000000,tolerance=0.000010, penalty=10,training time : 2.471392, testing time: 0.023936 
K=2,weight=2.000000,tolerance=0.000010, penalty=20,training time : 2.542203, testing time: 0.025930 
K=2,weight=2.000000,tolerance=0.000010, penalty=30,training time : 2.472389, testing time: 0.023936 
K=2,weight=2.000000,tolerance=0.000010, penalty=40,training time : 2.041654, testing time: 0.023937 
K=2,weight=4.000000,tolerance=0.100000, penalty=1,training time : 2.398587, testing time: 0.023936 
K=2,weight=4.000000,tolerance=0.100000, penalty=10,training time : 2.862346, testing time: 0.024933 
K=2,weight=4.000000,tolerance=0.100000, penalty=20,training time : 2.467403, testing time: 0.028923 
K=2,weight=4.000000,tolerance=0.100000, penalty=30,training time : 2.519264, testing time: 0.025930 
K=2,weight=4.000000,tolerance=0.100000, penalty=40,training time : 2.498319, testing time: 0.023936 
K=2,weight=4.000000,tolerance=0.001000, penalty=1,training time : 2.376645, testing time: 0.024933 
