iteration = 1, training time when k = 2, rho = 0.100000: 524.642158
iteration = 1, training time when k = 2, rho = 0.300000: 584.875430
iteration = 1, training time when k = 2, rho = 0.500000: 636.212747
iteration = 1, training time when k = 2, rho = 0.700000: 532.411577
iteration = 1, training time when k = 2, rho = 0.900000: 535.274667
iteration = 1, training time when k = 3, rho = 0.100000: 571.278057
iteration = 1, training time when k = 3, rho = 0.300000: 591.106826
iteration = 1, training time when k = 3, rho = 0.500000: 610.106417
iteration = 1, training time when k = 3, rho = 0.700000: 603.062716
iteration = 1, training time when k = 3, rho = 0.900000: 650.037057
iteration = 1, training time when k = 4, rho = 0.100000: 706.100808
iteration = 1, training time when k = 4, rho = 0.300000: 734.530236
iteration = 1, training time when k = 4, rho = 0.500000: 764.733730
iteration = 1, training time when k = 4, rho = 0.700000: 806.114039
iteration = 1, training time when k = 4, rho = 0.900000: 827.064221
k = 2, rho = 0.100000, avg_training_time : 535.274667 
k = 2, rho = 0.300000, avg_training_time : 535.274667 
k = 2, rho = 0.500000, avg_training_time : 535.274667 
k = 2, rho = 0.700000, avg_training_time : 535.274667 
k = 2, rho = 0.900000, avg_training_time : 535.274667 
k = 3, rho = 0.100000, avg_training_time : 650.037057 
k = 3, rho = 0.300000, avg_training_time : 650.037057 
k = 3, rho = 0.500000, avg_training_time : 650.037057 
k = 3, rho = 0.700000, avg_training_time : 650.037057 
k = 3, rho = 0.900000, avg_training_time : 650.037057 
k = 4, rho = 0.100000, avg_training_time : 827.064221 
k = 4, rho = 0.300000, avg_training_time : 827.064221 
k = 4, rho = 0.500000, avg_training_time : 827.064221 
k = 4, rho = 0.700000, avg_training_time : 827.064221 
k = 4, rho = 0.900000, avg_training_time : 827.064221 
k = 2, rho = 0.100000, training_time(maxacc): 535.274667 
k = 2, rho = 0.300000, training_time(maxacc): 535.274667 
k = 2, rho = 0.500000, training_time(maxacc): 535.274667 
k = 2, rho = 0.700000, training_time(maxacc): 535.274667 
k = 2, rho = 0.900000, training_time(maxacc): 535.274667 
k = 3, rho = 0.100000, training_time(maxacc): 650.037057 
k = 3, rho = 0.300000, training_time(maxacc): 650.037057 
