iteration = 1, testing time when k = 2, rho = 0.100000: 5.895636
iteration = 1, testing time when k = 2, rho = 0.300000: 16.093153
iteration = 1, testing time when k = 2, rho = 0.500000: 5.212648
iteration = 1, testing time when k = 2, rho = 0.700000: 5.591719
iteration = 1, testing time when k = 2, rho = 0.900000: 6.038804
iteration = 1, testing time when k = 3, rho = 0.100000: 8.224263
iteration = 1, testing time when k = 3, rho = 0.300000: 9.159089
iteration = 1, testing time when k = 3, rho = 0.500000: 10.054199
iteration = 1, testing time when k = 3, rho = 0.700000: 10.909120
iteration = 1, testing time when k = 3, rho = 0.900000: 11.797848
iteration = 1, testing time when k = 4, rho = 0.100000: 16.111540
iteration = 1, testing time when k = 4, rho = 0.300000: 17.933558
iteration = 1, testing time when k = 4, rho = 0.500000: 19.711273
iteration = 1, testing time when k = 4, rho = 0.700000: 21.390919
iteration = 1, testing time when k = 4, rho = 0.900000: 23.569202
k = 2, rho = 0.100000, avg_testing_time : 6.038804 
k = 2, rho = 0.300000, avg_testing_time : 6.038804 
k = 2, rho = 0.500000, avg_testing_time : 6.038804 
k = 2, rho = 0.700000, avg_testing_time : 6.038804 
k = 2, rho = 0.900000, avg_testing_time : 6.038804 
k = 3, rho = 0.100000, avg_testing_time : 11.797848 
k = 3, rho = 0.300000, avg_testing_time : 11.797848 
k = 3, rho = 0.500000, avg_testing_time : 11.797848 
k = 3, rho = 0.700000, avg_testing_time : 11.797848 
k = 3, rho = 0.900000, avg_testing_time : 11.797848 
k = 4, rho = 0.100000, avg_testing_time : 23.569202 
k = 4, rho = 0.300000, avg_testing_time : 23.569202 
k = 4, rho = 0.500000, avg_testing_time : 23.569202 
k = 4, rho = 0.700000, avg_testing_time : 23.569202 
k = 4, rho = 0.900000, avg_testing_time : 23.569202 
k = 2, rho = 0.100000, testing_time(maxacc): 6.038804 
k = 2, rho = 0.300000, testing_time(maxacc): 6.038804 
k = 2, rho = 0.500000, testing_time(maxacc): 6.038804 
k = 2, rho = 0.700000, testing_time(maxacc): 6.038804 
k = 2, rho = 0.900000, testing_time(maxacc): 6.038804 
k = 3, rho = 0.100000, testing_time(maxacc): 11.797848 
k = 3, rho = 0.300000, testing_time(maxacc): 11.797848 
k = 3, rho = 0.500000, testing_time(maxacc): 11.797848 
k = 3, rho = 0.700000, testing_time(maxacc): 11.797848 
k = 3, rho = 0.900000, testing_time(maxacc): 11.797848 
k = 4, rho = 0.100000, testing_time(maxacc): 23.569202 
k = 4, rho = 0.300000, testing_time(maxacc): 23.569202 
k = 4, rho = 0.500000, testing_time(maxacc): 23.569202 
k = 4, rho = 0.700000, testing_time(maxacc): 23.569202 
k = 4, rho = 0.900000, testing_time(maxacc): 23.569202 
iteration = 1, testing time when k = 2, rho = 0.100000: 4.488120
iteration = 1, testing time when k = 2, rho = 0.300000: 4.757544
iteration = 1, testing time when k = 2, rho = 0.500000: 5.187137
iteration = 1, testing time when k = 2, rho = 0.700000: 5.645700
iteration = 1, testing time when k = 2, rho = 0.900000: 6.298082
iteration = 1, testing time when k = 3, rho = 0.100000: 8.494730
iteration = 1, testing time when k = 3, rho = 0.300000: 9.356984
iteration = 1, testing time when k = 3, rho = 0.500000: 10.312766
iteration = 1, testing time when k = 3, rho = 0.700000: 11.264946
iteration = 1, testing time when k = 3, rho = 0.900000: 11.817771
iteration = 1, testing time when k = 4, rho = 0.100000: 16.618743
iteration = 1, testing time when k = 4, rho = 0.300000: 18.423867
iteration = 1, testing time when k = 4, rho = 0.500000: 20.207982
iteration = 1, testing time when k = 4, rho = 0.700000: 22.231209
iteration = 1, testing time when k = 4, rho = 0.900000: 24.663988
k = 2, rho = 0.100000, avg_testing_time : 6.298082 
k = 2, rho = 0.300000, avg_testing_time : 6.298082 
k = 2, rho = 0.500000, avg_testing_time : 6.298082 
k = 2, rho = 0.700000, avg_testing_time : 6.298082 
k = 2, rho = 0.900000, avg_testing_time : 6.298082 
k = 3, rho = 0.100000, avg_testing_time : 11.817771 
k = 3, rho = 0.300000, avg_testing_time : 11.817771 
k = 3, rho = 0.500000, avg_testing_time : 11.817771 
k = 3, rho = 0.700000, avg_testing_time : 11.817771 
k = 3, rho = 0.900000, avg_testing_time : 11.817771 
k = 4, rho = 0.100000, avg_testing_time : 24.663988 
k = 4, rho = 0.300000, avg_testing_time : 24.663988 
k = 4, rho = 0.500000, avg_testing_time : 24.663988 
k = 4, rho = 0.700000, avg_testing_time : 24.663988 
k = 4, rho = 0.900000, avg_testing_time : 24.663988 
k = 2, rho = 0.100000, testing_time(maxacc): 6.298082 
k = 2, rho = 0.300000, testing_time(maxacc): 6.298082 
k = 2, rho = 0.500000, testing_time(maxacc): 6.298082 
k = 2, rho = 0.700000, testing_time(maxacc): 6.298082 
k = 2, rho = 0.900000, testing_time(maxacc): 6.298082 
k = 3, rho = 0.100000, testing_time(maxacc): 11.817771 
k = 3, rho = 0.300000, testing_time(maxacc): 11.817771 
k = 3, rho = 0.500000, testing_time(maxacc): 11.817771 
k = 3, rho = 0.700000, testing_time(maxacc): 11.817771 
k = 3, rho = 0.900000, testing_time(maxacc): 11.817771 
k = 4, rho = 0.100000, testing_time(maxacc): 24.663988 
k = 4, rho = 0.300000, testing_time(maxacc): 24.663988 
k = 4, rho = 0.500000, testing_time(maxacc): 24.663988 
k = 4, rho = 0.700000, testing_time(maxacc): 24.663988 
k = 4, rho = 0.900000, testing_time(maxacc): 24.663988 
iteration = 1, testing time when k = 2, rho = 0.100000: 4.550150
iteration = 1, testing time when k = 2, rho = 0.300000: 4.939212
iteration = 1, testing time when k = 2, rho = 0.500000: 5.290572
iteration = 1, testing time when k = 2, rho = 0.700000: 5.684874
iteration = 1, testing time when k = 2, rho = 0.900000: 6.342126
iteration = 1, testing time when k = 3, rho = 0.100000: 8.431550
iteration = 1, testing time when k = 3, rho = 0.300000: 9.363140
iteration = 1, testing time when k = 3, rho = 0.500000: 10.252640
iteration = 1, testing time when k = 3, rho = 0.700000: 11.220991
iteration = 1, testing time when k = 3, rho = 0.900000: 12.206838
iteration = 1, testing time when k = 4, rho = 0.100000: 16.694966
iteration = 1, testing time when k = 4, rho = 0.300000: 18.523699
iteration = 1, testing time when k = 4, rho = 0.500000: 20.299854
iteration = 1, testing time when k = 4, rho = 0.700000: 22.293962
iteration = 1, testing time when k = 4, rho = 0.900000: 24.647128
k = 2, rho = 0.100000, avg_testing_time : 6.342126 
k = 2, rho = 0.300000, avg_testing_time : 6.342126 
k = 2, rho = 0.500000, avg_testing_time : 6.342126 
k = 2, rho = 0.700000, avg_testing_time : 6.342126 
k = 2, rho = 0.900000, avg_testing_time : 6.342126 
k = 3, rho = 0.100000, avg_testing_time : 12.206838 
k = 3, rho = 0.300000, avg_testing_time : 12.206838 
k = 3, rho = 0.500000, avg_testing_time : 12.206838 
k = 3, rho = 0.700000, avg_testing_time : 12.206838 
k = 3, rho = 0.900000, avg_testing_time : 12.206838 
k = 4, rho = 0.100000, avg_testing_time : 24.647128 
k = 4, rho = 0.300000, avg_testing_time : 24.647128 
k = 4, rho = 0.500000, avg_testing_time : 24.647128 
k = 4, rho = 0.700000, avg_testing_time : 24.647128 
k = 4, rho = 0.900000, avg_testing_time : 24.647128 
k = 2, rho = 0.100000, testing_time(maxacc): 6.342126 
k = 2, rho = 0.300000, testing_time(maxacc): 6.342126 
k = 2, rho = 0.500000, testing_time(maxacc): 6.342126 
k = 2, rho = 0.700000, testing_time(maxacc): 6.342126 
k = 2, rho = 0.900000, testing_time(maxacc): 6.342126 
k = 3, rho = 0.100000, testing_time(maxacc): 12.206838 
k = 3, rho = 0.300000, testing_time(maxacc): 12.206838 
k = 3, rho = 0.500000, testing_time(maxacc): 12.206838 
k = 3, rho = 0.700000, testing_time(maxacc): 12.206838 
k = 3, rho = 0.900000, testing_time(maxacc): 12.206838 
k = 4, rho = 0.100000, testing_time(maxacc): 24.647128 
k = 4, rho = 0.300000, testing_time(maxacc): 24.647128 
k = 4, rho = 0.500000, testing_time(maxacc): 24.647128 
k = 4, rho = 0.700000, testing_time(maxacc): 24.647128 
k = 4, rho = 0.900000, testing_time(maxacc): 24.647128 
iteration = 1, testing time when k = 2, rho = 0.100000: 4.453406
iteration = 1, testing time when k = 2, rho = 0.300000: 4.732305
iteration = 1, testing time when k = 2, rho = 0.500000: 5.121961
iteration = 1, testing time when k = 2, rho = 0.700000: 5.580502
iteration = 1, testing time when k = 2, rho = 0.900000: 6.299906
iteration = 1, testing time when k = 3, rho = 0.100000: 8.550199
iteration = 1, testing time when k = 3, rho = 0.300000: 9.336569
iteration = 1, testing time when k = 3, rho = 0.500000: 10.315413
iteration = 1, testing time when k = 3, rho = 0.700000: 11.113619
iteration = 1, testing time when k = 3, rho = 0.900000: 12.198759
iteration = 1, testing time when k = 4, rho = 0.100000: 16.703668
iteration = 1, testing time when k = 4, rho = 0.300000: 18.719776
iteration = 1, testing time when k = 4, rho = 0.500000: 20.282041
iteration = 1, testing time when k = 4, rho = 0.700000: 22.138895
iteration = 1, testing time when k = 4, rho = 0.900000: 24.540368
k = 2, rho = 0.100000, avg_testing_time : 6.299906 
k = 2, rho = 0.300000, avg_testing_time : 6.299906 
k = 2, rho = 0.500000, avg_testing_time : 6.299906 
k = 2, rho = 0.700000, avg_testing_time : 6.299906 
k = 2, rho = 0.900000, avg_testing_time : 6.299906 
k = 3, rho = 0.100000, avg_testing_time : 12.198759 
k = 3, rho = 0.300000, avg_testing_time : 12.198759 
k = 3, rho = 0.500000, avg_testing_time : 12.198759 
k = 3, rho = 0.700000, avg_testing_time : 12.198759 
k = 3, rho = 0.900000, avg_testing_time : 12.198759 
k = 4, rho = 0.100000, avg_testing_time : 24.540368 
k = 4, rho = 0.300000, avg_testing_time : 24.540368 
k = 4, rho = 0.500000, avg_testing_time : 24.540368 
k = 4, rho = 0.700000, avg_testing_time : 24.540368 
k = 4, rho = 0.900000, avg_testing_time : 24.540368 
k = 2, rho = 0.100000, testing_time(maxacc): 6.299906 
k = 2, rho = 0.300000, testing_time(maxacc): 6.299906 
k = 2, rho = 0.500000, testing_time(maxacc): 6.299906 
k = 2, rho = 0.700000, testing_time(maxacc): 6.299906 
k = 2, rho = 0.900000, testing_time(maxacc): 6.299906 
k = 3, rho = 0.100000, testing_time(maxacc): 12.198759 
k = 3, rho = 0.300000, testing_time(maxacc): 12.198759 
k = 3, rho = 0.500000, testing_time(maxacc): 12.198759 
k = 3, rho = 0.700000, testing_time(maxacc): 12.198759 
k = 3, rho = 0.900000, testing_time(maxacc): 12.198759 
k = 4, rho = 0.100000, testing_time(maxacc): 24.540368 
k = 4, rho = 0.300000, testing_time(maxacc): 24.540368 
k = 4, rho = 0.500000, testing_time(maxacc): 24.540368 
k = 4, rho = 0.700000, testing_time(maxacc): 24.540368 
k = 4, rho = 0.900000, testing_time(maxacc): 24.540368 
iteration = 1, testing time when k = 2, rho = 0.100000: 4.748909
iteration = 1, testing time when k = 2, rho = 0.300000: 5.062103
iteration = 1, testing time when k = 2, rho = 0.500000: 5.242293
iteration = 1, testing time when k = 2, rho = 0.700000: 5.746331
iteration = 1, testing time when k = 2, rho = 0.900000: 6.413267
iteration = 1, testing time when k = 3, rho = 0.100000: 8.258744
iteration = 1, testing time when k = 3, rho = 0.300000: 9.006727
iteration = 1, testing time when k = 3, rho = 0.500000: 10.318450
iteration = 1, testing time when k = 3, rho = 0.700000: 10.917999
iteration = 1, testing time when k = 3, rho = 0.900000: 11.853811
iteration = 1, testing time when k = 4, rho = 0.100000: 16.165943
iteration = 1, testing time when k = 4, rho = 0.300000: 18.327008
iteration = 1, testing time when k = 4, rho = 0.500000: 20.153639
iteration = 1, testing time when k = 4, rho = 0.700000: 22.128775
