iteration = 1, testing time when k = 2, rho = 0.100000: 4.578931
iteration = 1, testing time when k = 2, rho = 0.300000: 4.795164
iteration = 1, testing time when k = 2, rho = 0.500000: 5.064572
iteration = 1, testing time when k = 2, rho = 0.700000: 5.447460
iteration = 1, testing time when k = 2, rho = 0.900000: 6.239454
iteration = 1, testing time when k = 3, rho = 0.100000: 8.329834
iteration = 1, testing time when k = 3, rho = 0.300000: 9.214478
iteration = 1, testing time when k = 3, rho = 0.500000: 10.087282
iteration = 1, testing time when k = 3, rho = 0.700000: 11.514763
iteration = 1, testing time when k = 3, rho = 0.900000: 11.829555
iteration = 1, testing time when k = 4, rho = 0.100000: 16.157542
iteration = 1, testing time when k = 4, rho = 0.300000: 18.080565
iteration = 1, testing time when k = 4, rho = 0.500000: 19.685443
iteration = 1, testing time when k = 4, rho = 0.700000: 21.499516
iteration = 1, testing time when k = 4, rho = 0.900000: 27.345063
k = 2, rho = 0.100000, avg_testing_time : 6.239454 
k = 2, rho = 0.300000, avg_testing_time : 6.239454 
k = 2, rho = 0.500000, avg_testing_time : 6.239454 
k = 2, rho = 0.700000, avg_testing_time : 6.239454 
k = 2, rho = 0.900000, avg_testing_time : 6.239454 
k = 3, rho = 0.100000, avg_testing_time : 11.829555 
k = 3, rho = 0.300000, avg_testing_time : 11.829555 
k = 3, rho = 0.500000, avg_testing_time : 11.829555 
k = 3, rho = 0.700000, avg_testing_time : 11.829555 
k = 3, rho = 0.900000, avg_testing_time : 11.829555 
k = 4, rho = 0.100000, avg_testing_time : 27.345063 
k = 4, rho = 0.300000, avg_testing_time : 27.345063 
k = 4, rho = 0.500000, avg_testing_time : 27.345063 
k = 4, rho = 0.700000, avg_testing_time : 27.345063 
k = 4, rho = 0.900000, avg_testing_time : 27.345063 
k = 2, rho = 0.100000, testing_time(maxacc): 6.239454 
k = 2, rho = 0.300000, testing_time(maxacc): 6.239454 
k = 2, rho = 0.500000, testing_time(maxacc): 6.239454 
k = 2, rho = 0.700000, testing_time(maxacc): 6.239454 
k = 2, rho = 0.900000, testing_time(maxacc): 6.239454 
k = 3, rho = 0.100000, testing_time(maxacc): 11.829555 
k = 3, rho = 0.300000, testing_time(maxacc): 11.829555 
k = 3, rho = 0.500000, testing_time(maxacc): 11.829555 
k = 3, rho = 0.700000, testing_time(maxacc): 11.829555 
k = 3, rho = 0.900000, testing_time(maxacc): 11.829555 
k = 4, rho = 0.100000, testing_time(maxacc): 27.345063 
k = 4, rho = 0.300000, testing_time(maxacc): 27.345063 
k = 4, rho = 0.500000, testing_time(maxacc): 27.345063 
k = 4, rho = 0.700000, testing_time(maxacc): 27.345063 
k = 4, rho = 0.900000, testing_time(maxacc): 27.345063 
iteration = 1, testing time when k = 2, rho = 0.100000: 4.516973
iteration = 1, testing time when k = 2, rho = 0.300000: 4.823130
iteration = 1, testing time when k = 2, rho = 0.500000: 5.031095
iteration = 1, testing time when k = 2, rho = 0.700000: 5.330559
iteration = 1, testing time when k = 2, rho = 0.900000: 5.786273
iteration = 1, testing time when k = 3, rho = 0.100000: 8.494080
iteration = 1, testing time when k = 3, rho = 0.300000: 8.835297
iteration = 1, testing time when k = 3, rho = 0.500000: 10.016234
iteration = 1, testing time when k = 3, rho = 0.700000: 11.404240
iteration = 1, testing time when k = 3, rho = 0.900000: 11.888756
iteration = 1, testing time when k = 4, rho = 0.100000: 16.234259
