iteration = 1, training time when k = 2, rho = 0.100000: 358.011221
iteration = 1, training time when k = 2, rho = 0.300000: 364.118992
iteration = 1, training time when k = 2, rho = 0.500000: 373.560054
iteration = 1, training time when k = 2, rho = 0.700000: 392.276344
iteration = 1, training time when k = 2, rho = 0.900000: 412.124808
iteration = 1, training time when k = 3, rho = 0.100000: 448.687915
iteration = 1, training time when k = 3, rho = 0.300000: 466.835471
iteration = 1, training time when k = 3, rho = 0.500000: 483.472540
iteration = 1, training time when k = 3, rho = 0.700000: 500.715397
iteration = 1, training time when k = 3, rho = 0.900000: 513.498649
iteration = 1, training time when k = 4, rho = 0.100000: 560.727540
iteration = 1, training time when k = 4, rho = 0.300000: 591.447777
iteration = 1, training time when k = 4, rho = 0.500000: 618.380667
iteration = 1, training time when k = 4, rho = 0.700000: 657.125776
iteration = 1, training time when k = 4, rho = 0.900000: 690.981412
k = 2, rho = 0.100000, avg_training_time : 412.124808 
k = 2, rho = 0.300000, avg_training_time : 412.124808 
k = 2, rho = 0.500000, avg_training_time : 412.124808 
k = 2, rho = 0.700000, avg_training_time : 412.124808 
k = 2, rho = 0.900000, avg_training_time : 412.124808 
k = 3, rho = 0.100000, avg_training_time : 513.498649 
k = 3, rho = 0.300000, avg_training_time : 513.498649 
k = 3, rho = 0.500000, avg_training_time : 513.498649 
k = 3, rho = 0.700000, avg_training_time : 513.498649 
k = 3, rho = 0.900000, avg_training_time : 513.498649 
k = 4, rho = 0.100000, avg_training_time : 690.981412 
k = 4, rho = 0.300000, avg_training_time : 690.981412 
k = 4, rho = 0.500000, avg_training_time : 690.981412 
k = 4, rho = 0.700000, avg_training_time : 690.981412 
k = 4, rho = 0.900000, avg_training_time : 690.981412 
k = 2, rho = 0.100000, training_time(maxacc): 412.124808 
k = 2, rho = 0.300000, training_time(maxacc): 412.124808 
k = 2, rho = 0.500000, training_time(maxacc): 412.124808 
k = 2, rho = 0.700000, training_time(maxacc): 412.124808 
k = 2, rho = 0.900000, training_time(maxacc): 412.124808 
k = 3, rho = 0.100000, training_time(maxacc): 513.498649 
k = 3, rho = 0.300000, training_time(maxacc): 513.498649 
k = 3, rho = 0.500000, training_time(maxacc): 513.498649 
k = 3, rho = 0.700000, training_time(maxacc): 513.498649 
k = 3, rho = 0.900000, training_time(maxacc): 513.498649 
k = 4, rho = 0.100000, training_time(maxacc): 690.981412 
k = 4, rho = 0.300000, training_time(maxacc): 690.981412 
k = 4, rho = 0.500000, training_time(maxacc): 690.981412 
k = 4, rho = 0.700000, training_time(maxacc): 690.981412 
k = 4, rho = 0.900000, training_time(maxacc): 690.981412 
iteration = 1, training time when k = 2, rho = 0.100000: 346.233235
iteration = 1, training time when k = 2, rho = 0.300000: 354.122343
iteration = 1, training time when k = 2, rho = 0.500000: 362.229608
iteration = 1, training time when k = 2, rho = 0.700000: 370.290719
iteration = 1, training time when k = 2, rho = 0.900000: 385.543505
iteration = 1, training time when k = 3, rho = 0.100000: 432.296805
iteration = 1, training time when k = 3, rho = 0.300000: 452.209292
iteration = 1, training time when k = 3, rho = 0.500000: 462.945643
iteration = 1, training time when k = 3, rho = 0.700000: 490.826597
iteration = 1, training time when k = 3, rho = 0.900000: 507.669761
iteration = 1, training time when k = 4, rho = 0.100000: 561.880157
iteration = 1, training time when k = 4, rho = 0.300000: 593.669145
iteration = 1, training time when k = 4, rho = 0.500000: 623.236169
iteration = 1, training time when k = 4, rho = 0.700000: 655.403456
iteration = 1, training time when k = 4, rho = 0.900000: 679.818828
k = 2, rho = 0.100000, avg_training_time : 385.543505 
