iteration = 1, training time when k = 2, rho = 0.100000: 84.241395
iteration = 1, training time when k = 2, rho = 0.300000: 88.700098
iteration = 1, training time when k = 2, rho = 0.500000: 93.442654
iteration = 1, training time when k = 2, rho = 0.700000: 102.098783
iteration = 1, training time when k = 2, rho = 0.900000: 105.884682
iteration = 1, training time when k = 3, rho = 0.100000: 127.562369
iteration = 1, training time when k = 3, rho = 0.300000: 139.273950
iteration = 1, training time when k = 3, rho = 0.500000: 150.128801
iteration = 1, training time when k = 3, rho = 0.700000: 160.765907
iteration = 1, training time when k = 3, rho = 0.900000: 168.640181
iteration = 1, training time when k = 4, rho = 0.100000: 215.843662
iteration = 1, training time when k = 4, rho = 0.300000: 240.750937
iteration = 1, training time when k = 4, rho = 0.500000: 260.947310
iteration = 1, training time when k = 4, rho = 0.700000: 284.837115
iteration = 1, training time when k = 4, rho = 0.900000: 305.534249
k = 2, rho = 0.100000, avg_training_time : 105.884682 
k = 2, rho = 0.300000, avg_training_time : 105.884682 
k = 2, rho = 0.500000, avg_training_time : 105.884682 
k = 2, rho = 0.700000, avg_training_time : 105.884682 
k = 2, rho = 0.900000, avg_training_time : 105.884682 
k = 3, rho = 0.100000, avg_training_time : 168.640181 
k = 3, rho = 0.300000, avg_training_time : 168.640181 
k = 3, rho = 0.500000, avg_training_time : 168.640181 
k = 3, rho = 0.700000, avg_training_time : 168.640181 
k = 3, rho = 0.900000, avg_training_time : 168.640181 
k = 4, rho = 0.100000, avg_training_time : 305.534249 
k = 4, rho = 0.300000, avg_training_time : 305.534249 
k = 4, rho = 0.500000, avg_training_time : 305.534249 
k = 4, rho = 0.700000, avg_training_time : 305.534249 
k = 4, rho = 0.900000, avg_training_time : 305.534249 
k = 2, rho = 0.100000, training_time(maxacc): 105.884682 
k = 2, rho = 0.300000, training_time(maxacc): 105.884682 
k = 2, rho = 0.500000, training_time(maxacc): 105.884682 
k = 2, rho = 0.700000, training_time(maxacc): 105.884682 
k = 2, rho = 0.900000, training_time(maxacc): 105.884682 
k = 3, rho = 0.100000, training_time(maxacc): 168.640181 
k = 3, rho = 0.300000, training_time(maxacc): 168.640181 
k = 3, rho = 0.500000, training_time(maxacc): 168.640181 
k = 3, rho = 0.700000, training_time(maxacc): 168.640181 
k = 3, rho = 0.900000, training_time(maxacc): 168.640181 
k = 4, rho = 0.100000, training_time(maxacc): 305.534249 
k = 4, rho = 0.300000, training_time(maxacc): 305.534249 
k = 4, rho = 0.500000, training_time(maxacc): 305.534249 
k = 4, rho = 0.700000, training_time(maxacc): 305.534249 
k = 4, rho = 0.900000, training_time(maxacc): 305.534249 
iteration = 1, training time when k = 2, rho = 0.100000: 78.592397
iteration = 1, training time when k = 2, rho = 0.300000: 85.440234
iteration = 1, training time when k = 2, rho = 0.500000: 90.422522
iteration = 1, training time when k = 2, rho = 0.700000: 94.390463
iteration = 1, training time when k = 2, rho = 0.900000: 99.250518
iteration = 1, training time when k = 3, rho = 0.100000: 122.219175
iteration = 1, training time when k = 3, rho = 0.300000: 132.893924
iteration = 1, training time when k = 3, rho = 0.500000: 146.462927
iteration = 1, training time when k = 3, rho = 0.700000: 159.031381
iteration = 1, training time when k = 3, rho = 0.900000: 170.322445
iteration = 1, training time when k = 4, rho = 0.100000: 222.988165
iteration = 1, training time when k = 4, rho = 0.300000: 241.861544
iteration = 1, training time when k = 4, rho = 0.500000: 263.501730
iteration = 1, training time when k = 4, rho = 0.700000: 284.946144
iteration = 1, training time when k = 4, rho = 0.900000: 310.510126
k = 2, rho = 0.100000, avg_training_time : 99.250518 
k = 2, rho = 0.300000, avg_training_time : 99.250518 
k = 2, rho = 0.500000, avg_training_time : 99.250518 
k = 2, rho = 0.700000, avg_training_time : 99.250518 
k = 2, rho = 0.900000, avg_training_time : 99.250518 
k = 3, rho = 0.100000, avg_training_time : 170.322445 
k = 3, rho = 0.300000, avg_training_time : 170.322445 
k = 3, rho = 0.500000, avg_training_time : 170.322445 
k = 3, rho = 0.700000, avg_training_time : 170.322445 
k = 3, rho = 0.900000, avg_training_time : 170.322445 
k = 4, rho = 0.100000, avg_training_time : 310.510126 
k = 4, rho = 0.300000, avg_training_time : 310.510126 
k = 4, rho = 0.500000, avg_training_time : 310.510126 
k = 4, rho = 0.700000, avg_training_time : 310.510126 
k = 4, rho = 0.900000, avg_training_time : 310.510126 
k = 2, rho = 0.100000, training_time(maxacc): 99.250518 
k = 2, rho = 0.300000, training_time(maxacc): 99.250518 
k = 2, rho = 0.500000, training_time(maxacc): 99.250518 
k = 2, rho = 0.700000, training_time(maxacc): 99.250518 
k = 2, rho = 0.900000, training_time(maxacc): 99.250518 
k = 3, rho = 0.100000, training_time(maxacc): 170.322445 
k = 3, rho = 0.300000, training_time(maxacc): 170.322445 
k = 3, rho = 0.500000, training_time(maxacc): 170.322445 
