iteration = 1, testing time when k = 2, rho = 0.100000: 3.221747
iteration = 1, testing time when k = 2, rho = 0.300000: 3.540690
iteration = 1, testing time when k = 2, rho = 0.500000: 3.683880
iteration = 1, testing time when k = 2, rho = 0.700000: 4.184802
iteration = 1, testing time when k = 2, rho = 0.900000: 4.235442
iteration = 1, testing time when k = 3, rho = 0.100000: 6.990451
iteration = 1, testing time when k = 3, rho = 0.300000: 7.688139
iteration = 1, testing time when k = 3, rho = 0.500000: 8.470017
iteration = 1, testing time when k = 3, rho = 0.700000: 9.222342
iteration = 1, testing time when k = 3, rho = 0.900000: 10.068347
iteration = 1, testing time when k = 4, rho = 0.100000: 15.255650
iteration = 1, testing time when k = 4, rho = 0.300000: 16.732732
iteration = 1, testing time when k = 4, rho = 0.500000: 18.243435
iteration = 1, testing time when k = 4, rho = 0.700000: 21.346302
iteration = 1, testing time when k = 4, rho = 0.900000: 21.860704
k = 2, rho = 0.100000, avg_testing_time : 4.235442 
k = 2, rho = 0.300000, avg_testing_time : 4.235442 
k = 2, rho = 0.500000, avg_testing_time : 4.235442 
k = 2, rho = 0.700000, avg_testing_time : 4.235442 
k = 2, rho = 0.900000, avg_testing_time : 4.235442 
k = 3, rho = 0.100000, avg_testing_time : 10.068347 
k = 3, rho = 0.300000, avg_testing_time : 10.068347 
k = 3, rho = 0.500000, avg_testing_time : 10.068347 
k = 3, rho = 0.700000, avg_testing_time : 10.068347 
k = 3, rho = 0.900000, avg_testing_time : 10.068347 
k = 4, rho = 0.100000, avg_testing_time : 21.860704 
k = 4, rho = 0.300000, avg_testing_time : 21.860704 
k = 4, rho = 0.500000, avg_testing_time : 21.860704 
k = 4, rho = 0.700000, avg_testing_time : 21.860704 
k = 4, rho = 0.900000, avg_testing_time : 21.860704 
k = 2, rho = 0.100000, testing_time(maxacc): 4.235442 
k = 2, rho = 0.300000, testing_time(maxacc): 4.235442 
k = 2, rho = 0.500000, testing_time(maxacc): 4.235442 
k = 2, rho = 0.700000, testing_time(maxacc): 4.235442 
k = 2, rho = 0.900000, testing_time(maxacc): 4.235442 
k = 3, rho = 0.100000, testing_time(maxacc): 10.068347 
k = 3, rho = 0.300000, testing_time(maxacc): 10.068347 
k = 3, rho = 0.500000, testing_time(maxacc): 10.068347 
k = 3, rho = 0.700000, testing_time(maxacc): 10.068347 
k = 3, rho = 0.900000, testing_time(maxacc): 10.068347 
k = 4, rho = 0.100000, testing_time(maxacc): 21.860704 
