K=1,weight=8.000000,tolerance=0.000010, penalty=30, maximum training acc=0.5402521823472357
K=1,weight=8.000000,tolerance=0.000010, penalty=40, maximum training acc=0.5295829291949563
K=2,weight=0.000000,tolerance=0.100000, penalty=1, maximum training acc=0.8254122211445198
K=2,weight=0.000000,tolerance=0.100000, penalty=10, maximum training acc=0.8574199806013579
K=2,weight=0.000000,tolerance=0.100000, penalty=20, maximum training acc=0.8428709990300679
K=2,weight=0.000000,tolerance=0.100000, penalty=30, maximum training acc=0.8322017458777885
K=2,weight=0.000000,tolerance=0.100000, penalty=40, maximum training acc=0.8205625606207565
K=2,weight=0.000000,tolerance=0.001000, penalty=1, maximum training acc=0.8263821532492726
K=2,weight=0.000000,tolerance=0.001000, penalty=10, maximum training acc=0.8389912706110573
K=2,weight=0.000000,tolerance=0.001000, penalty=20, maximum training acc=0.8477206595538312
K=2,weight=0.000000,tolerance=0.001000, penalty=30, maximum training acc=0.8428709990300679
K=2,weight=0.000000,tolerance=0.001000, penalty=40, maximum training acc=0.8079534432589719
K=2,weight=0.000000,tolerance=0.000010, penalty=1, maximum training acc=0.8477206595538312
K=2,weight=0.000000,tolerance=0.000010, penalty=10, maximum training acc=0.8360814742967992
K=2,weight=0.000000,tolerance=0.000010, penalty=20, maximum training acc=0.8486905916585838
K=2,weight=0.000000,tolerance=0.000010, penalty=30, maximum training acc=0.8389912706110573
K=2,weight=0.000000,tolerance=0.000010, penalty=40, maximum training acc=0.8157129000969933
K=2,weight=2.000000,tolerance=0.100000, penalty=1, maximum training acc=0.6032977691561591
K=2,weight=2.000000,tolerance=0.100000, penalty=10, maximum training acc=0.5965082444228904
K=2,weight=2.000000,tolerance=0.100000, penalty=20, maximum training acc=0.6042677012609118
K=2,weight=2.000000,tolerance=0.100000, penalty=30, maximum training acc=0.5848690591658584
K=2,weight=2.000000,tolerance=0.100000, penalty=40, maximum training acc=0.5489815712900097
K=2,weight=2.000000,tolerance=0.001000, penalty=1, maximum training acc=0.6032977691561591
K=2,weight=2.000000,tolerance=0.001000, penalty=10, maximum training acc=0.5984481086323957
K=2,weight=2.000000,tolerance=0.001000, penalty=20, maximum training acc=0.5906886517943744
K=2,weight=2.000000,tolerance=0.001000, penalty=30, maximum training acc=0.585838991270611
K=2,weight=2.000000,tolerance=0.001000, penalty=40, maximum training acc=0.5926285160038798
K=2,weight=2.000000,tolerance=0.000010, penalty=1, maximum training acc=0.6032977691561591
K=2,weight=2.000000,tolerance=0.000010, penalty=10, maximum training acc=0.5945683802133851
K=2,weight=2.000000,tolerance=0.000010, penalty=20, maximum training acc=0.5984481086323957
K=2,weight=2.000000,tolerance=0.000010, penalty=30, maximum training acc=0.5761396702230844
K=2,weight=2.000000,tolerance=0.000010, penalty=40, maximum training acc=0.6129970902036858
K=2,weight=4.000000,tolerance=0.100000, penalty=1, maximum training acc=0.577109602327837
K=2,weight=4.000000,tolerance=0.100000, penalty=10, maximum training acc=0.574199806013579
K=2,weight=4.000000,tolerance=0.100000, penalty=20, maximum training acc=0.5664403491755577
K=2,weight=4.000000,tolerance=0.100000, penalty=30, maximum training acc=0.5809893307468477
K=2,weight=4.000000,tolerance=0.100000, penalty=40, maximum training acc=0.5664403491755577
K=2,weight=4.000000,tolerance=0.001000, penalty=1, maximum training acc=0.577109602327837
K=2,weight=4.000000,tolerance=0.001000, penalty=10, maximum training acc=0.5916585838991271
K=2,weight=4.000000,tolerance=0.001000, penalty=20, maximum training acc=0.5877788554801164
K=2,weight=4.000000,tolerance=0.001000, penalty=30, maximum training acc=0.5703200775945684
K=2,weight=4.000000,tolerance=0.001000, penalty=40, maximum training acc=0.5674102812803103
K=2,weight=4.000000,tolerance=0.000010, penalty=1, maximum training acc=0.577109602327837
