k = 2, rho = 0.100000, avg_testing_time : 5.830053 
k = 2, rho = 0.300000, avg_testing_time : 5.830053 
k = 2, rho = 0.500000, avg_testing_time : 5.830053 
k = 2, rho = 0.700000, avg_testing_time : 5.830053 
k = 2, rho = 0.900000, avg_testing_time : 5.830053 
k = 3, rho = 0.100000, avg_testing_time : 12.155134 
k = 3, rho = 0.300000, avg_testing_time : 12.155134 
k = 3, rho = 0.500000, avg_testing_time : 12.155134 
k = 3, rho = 0.700000, avg_testing_time : 12.155134 
k = 3, rho = 0.900000, avg_testing_time : 12.155134 
k = 4, rho = 0.100000, avg_testing_time : 25.495326 
k = 4, rho = 0.300000, avg_testing_time : 25.495326 
k = 4, rho = 0.500000, avg_testing_time : 25.495326 
k = 4, rho = 0.700000, avg_testing_time : 25.495326 
k = 4, rho = 0.900000, avg_testing_time : 25.495326 
k = 2, rho = 0.100000, testing_time(maxacc): 5.830053 
k = 2, rho = 0.300000, testing_time(maxacc): 5.830053 
k = 2, rho = 0.500000, testing_time(maxacc): 5.830053 
k = 2, rho = 0.700000, testing_time(maxacc): 5.830053 
k = 2, rho = 0.900000, testing_time(maxacc): 5.830053 
k = 3, rho = 0.100000, testing_time(maxacc): 12.155134 
k = 3, rho = 0.300000, testing_time(maxacc): 12.155134 
k = 3, rho = 0.500000, testing_time(maxacc): 12.155134 
k = 3, rho = 0.700000, testing_time(maxacc): 12.155134 
k = 3, rho = 0.900000, testing_time(maxacc): 12.155134 
k = 4, rho = 0.100000, testing_time(maxacc): 25.495326 
k = 4, rho = 0.300000, testing_time(maxacc): 25.495326 
k = 4, rho = 0.500000, testing_time(maxacc): 25.495326 
k = 4, rho = 0.700000, testing_time(maxacc): 25.495326 
k = 4, rho = 0.900000, testing_time(maxacc): 25.495326 
iteration = 1, testing time when k = 2, rho = 0.100000: 4.400739
iteration = 1, testing time when k = 2, rho = 0.300000: 4.929530
iteration = 1, testing time when k = 2, rho = 0.500000: 5.143617
